Label,precision,recall,f1-score,support,Average Precision
No Finding,0.21863799283154123,0.6853932584269663,0.33152173913043476,178.0,0.2878310546208028
Enlarged Cardiomediastinum,0.10441176470588236,0.3480392156862745,0.16063348416289594,204.0,0.124567404085556
Cardiomegaly,0.26497005988023953,0.5619047619047619,0.36012207527975587,315.0,0.3287821672702467
Lung Opacity,0.556437889960295,0.9496611810261375,0.7017167381974249,1033.0,0.5992828872527199
Lung Lesion,0.07102272727272728,0.29411764705882354,0.11441647597254005,85.0,0.06774348938767148
Edema,0.455743879472693,0.7515527950310559,0.567409144196952,644.0,0.5184614252759207
Consolidation,0.23889354568315171,0.7289002557544757,0.35984848484848486,391.0,0.270378383539586
Pneumonia,0.14919354838709678,0.5138888888888888,0.23125,216.0,0.1512529477973466
Atelectasis,0.3753046303818034,0.7403846153846154,0.4981132075471698,624.0,0.41633489732429335
Pneumothorax,0.16589147286821707,0.5,0.24912689173457508,214.0,0.20005613208931777
Pleural Effusion,0.5329494561740243,0.9204419889502763,0.6750405186385737,905.0,0.6691319471226793
Pleural Other,0.05747126436781609,0.1111111111111111,0.07575757575757576,45.0,0.03631748272097136
Fracture,0.11029411764705882,0.18072289156626506,0.136986301369863,83.0,0.09342622112472046
micro avg,0.34431754353117394,0.7449868341097833,0.470964850502593,4937.0,0.34053462534042506
macro avg,0.25394018074096514,0.5604706623684347,0.3432263566797112,4937.0,0.28950511073937174
weighted avg,0.38634867044326293,0.7449868341097833,0.5034851146714814,4937.0,0.4445746983919966
samples avg,0.33851488095238097,0.6940559523809524,0.4319152708402708,4937.0,0.48095372870515724
