Label,precision,recall,f1-score,support,Average Precision
No Finding,0.30513595166163143,0.5674157303370787,0.3968565815324165,178.0,0.29667775167900245
Enlarged Cardiomediastinum,0.11202185792349727,0.20098039215686275,0.14385964912280702,204.0,0.11415852916038871
Cardiomegaly,0.23837209302325582,0.6507936507936508,0.34893617021276596,315.0,0.2923724848226108
Lung Opacity,0.5451559934318555,0.9641819941916747,0.6965034965034965,1033.0,0.6184522004040963
Lung Lesion,0.08823529411764706,0.10588235294117647,0.0962566844919786,85.0,0.08039477281985523
Edema,0.4279379157427938,0.8990683229813664,0.5798698047070606,644.0,0.5186144347260173
Consolidation,0.23625096824167313,0.7800511508951407,0.3626634958382878,391.0,0.2720928673054081
Pneumonia,0.14688601645123384,0.5787037037037037,0.23430178069353327,216.0,0.16820669223577966
Atelectasis,0.3504823151125402,0.8733974358974359,0.5002294630564479,624.0,0.42534632426913765
Pneumothorax,0.2183288409703504,0.37850467289719625,0.27692307692307694,214.0,0.1878937171888042
Pleural Effusion,0.570906432748538,0.8629834254143647,0.6871975362956445,905.0,0.6830533709387906
Pleural Other,0.07142857142857142,0.1111111111111111,0.08695652173913043,45.0,0.0472421100107045
Fracture,0.11805555555555555,0.20481927710843373,0.14977973568281938,83.0,0.10392909713065664
micro avg,0.3613309181046811,0.7676726757139963,0.49137819266173993,4937.0,0.3373718740606274
macro avg,0.26378444664685713,0.5521456323407073,0.3507949228307281,4937.0,0.29295648866855784
weighted avg,0.38843429002726754,0.7676726757139963,0.5090303189489468,4937.0,0.45070656599372066
samples avg,0.35040952380952384,0.7016607142857142,0.44505712620712623,4937.0,0.49737282540541466
