Label,precision,recall,f1-score,support,Average Precision
No Finding,0.2946708463949843,0.5280898876404494,0.3782696177062374,178.0,0.2833160697982139
Enlarged Cardiomediastinum,0.12200435729847495,0.27450980392156865,0.1689291101055807,204.0,0.12516790835388264
Cardiomegaly,0.27844311377245506,0.5904761904761905,0.37843336724313326,315.0,0.33291252144305333
Lung Opacity,0.5852687458526875,0.8538238141335914,0.694488188976378,1033.0,0.6135580726840903
Lung Lesion,0.06127167630057803,0.6235294117647059,0.11157894736842106,85.0,0.06468416874149396
Edema,0.46934865900383144,0.7608695652173914,0.580568720379147,644.0,0.5351950129070252
Consolidation,0.23713826366559485,0.7544757033248082,0.36085626911314983,391.0,0.26711144217320293
Pneumonia,0.13840399002493767,0.5138888888888888,0.2180746561886051,216.0,0.16074495349428253
Atelectasis,0.36825645035183735,0.7548076923076923,0.4950078822911193,624.0,0.42601868116865194
Pneumothorax,0.19741100323624594,0.2850467289719626,0.2332695984703633,214.0,0.20123476274004326
Pleural Effusion,0.556237218813906,0.901657458563536,0.688026981450253,905.0,0.69433790723913
Pleural Other,0.04285714285714286,0.06666666666666667,0.05217391304347826,45.0,0.06192599578287339
Fracture,0.1,0.24096385542168675,0.1413427561837456,83.0,0.10210734248828333
micro avg,0.34574416104759115,0.716629532104517,0.4664469347396177,4937.0,0.3321246870905657
macro avg,0.2654854975055904,0.5499081282537799,0.3462323083476625,4937.0,0.2975626799241713
weighted avg,0.40214273462452005,0.716629532104517,0.5074992990485929,4937.0,0.45624872496028307
samples avg,0.32916289682539684,0.6506583333333333,0.41629100344100345,4937.0,0.48648473645071855
