Label,precision,recall,f1-score,support,Average Precision
No Finding,0.2765273311897106,0.48314606741573035,0.35173824130879344,178.0,0.28375968488169345
Enlarged Cardiomediastinum,0.10501567398119123,0.3284313725490196,0.15914489311163896,204.0,0.11212543290013063
Cardiomegaly,0.2891791044776119,0.49206349206349204,0.36427732079905994,315.0,0.3468238878263747
Lung Opacity,0.5347734457323499,0.9825750242013552,0.6925963834868646,1033.0,0.6145556866275567
Lung Lesion,0.08888888888888889,0.18823529411764706,0.12075471698113208,85.0,0.0645012422020233
Edema,0.4621695533272562,0.7872670807453416,0.5824238943136129,644.0,0.5222117058029142
Consolidation,0.23552425665101723,0.7698209718670077,0.36069502696225286,391.0,0.254555560509125
Pneumonia,0.16640746500777606,0.49537037037037035,0.24912689173457508,216.0,0.1540522636557104
Atelectasis,0.36042402826855124,0.8173076923076923,0.5002452182442374,624.0,0.42270991523949797
Pneumothorax,0.17732558139534885,0.2850467289719626,0.21863799283154123,214.0,0.1998866020916307
Pleural Effusion,0.5676824946846208,0.8850828729281768,0.6917098445595855,905.0,0.6801428045999726
Pleural Other,0.07142857142857142,0.06666666666666667,0.06896551724137931,45.0,0.05781117609565517
Fracture,0.10909090909090909,0.07228915662650602,0.08695652173913043,83.0,0.08568006922104414
micro avg,0.369110479285134,0.7362770913510229,0.4917145755833615,4937.0,0.32336006068070144
macro avg,0.26495671570183105,0.5117925223716129,0.34209788179336953,4937.0,0.2922166178194868
weighted avg,0.3921932249145283,0.7362770913510229,0.5065267336310786,4937.0,0.4504457616355629
samples avg,0.35738035714285715,0.6702940476190477,0.4433477133977134,4937.0,0.4865981835789871
