Label,precision,recall,f1-score,support,Average Precision
No Finding,0.2458628841607565,0.5842696629213483,0.34608985024958405,178.0,0.271321913410275
Enlarged Cardiomediastinum,0.14736842105263157,0.27450980392156865,0.1917808219178082,204.0,0.1331651387810097
Cardiomegaly,0.2631578947368421,0.6190476190476191,0.3693181818181818,315.0,0.32282455472604454
Lung Opacity,0.5460055096418733,0.9593417231364957,0.6959269662921348,1033.0,0.615655391802473
Lung Lesion,0.07157894736842105,0.4,0.12142857142857143,85.0,0.06524943914632642
Edema,0.5033783783783784,0.6940993788819876,0.5835509138381201,644.0,0.5533226791718712
Consolidation,0.23126801152737753,0.8209718670076727,0.3608768971332209,391.0,0.26131716168472385
Pneumonia,0.16815476190476192,0.5231481481481481,0.2545045045045045,216.0,0.1827103834452918
Atelectasis,0.34586929716399506,0.8990384615384616,0.4995547640249332,624.0,0.44469202108487504
Pneumothorax,0.22686567164179106,0.35514018691588783,0.2768670309653916,214.0,0.1939324205910864
Pleural Effusion,0.5705082319255548,0.8806629834254144,0.6924413553431799,905.0,0.6922842394082024
Pleural Other,0.07142857142857142,0.08888888888888889,0.07920792079207921,45.0,0.05947865822947019
Fracture,0.16071428571428573,0.10843373493975904,0.12949640287769784,83.0,0.10111791458521649
micro avg,0.3618266978922717,0.7510633988251975,0.4883766875205795,4937.0,0.2731666684770294
macro avg,0.2732431435880954,0.554427112213327,0.3539264754758007,4937.0,0.2997747627743743
weighted avg,0.4000379792062005,0.7510633988251975,0.5124777847157432,4937.0,0.46044665312635674
samples avg,0.3494138888888889,0.687472619047619,0.44157392607392604,4937.0,0.47031419442990874
