Label,precision,recall,f1-score,support,Average Precision
No Finding,0.25757575757575757,0.5730337078651685,0.3554006968641115,178.0,0.29065882485518874
Enlarged Cardiomediastinum,0.14540059347181009,0.24019607843137256,0.18114602587800369,204.0,0.13541248893541769
Cardiomegaly,0.2753623188405797,0.4222222222222222,0.3333333333333333,315.0,0.3054190477879988
Lung Opacity,0.5306971904266389,0.9874152952565344,0.6903553299492385,1033.0,0.6123374695242726
Lung Lesion,0.056716417910447764,0.4470588235294118,0.10066225165562914,85.0,0.06186705704973446
Edema,0.47029702970297027,0.7375776397515528,0.5743651753325272,644.0,0.519432936523194
Consolidation,0.2483720930232558,0.6828644501278772,0.36425648021828105,391.0,0.25939980318938377
Pneumonia,0.15976331360946747,0.375,0.22406639004149378,216.0,0.15896483958540866
Atelectasis,0.3591600289645185,0.7948717948717948,0.4947630922693267,624.0,0.44398511174915406
Pneumothorax,0.24615384615384617,0.22429906542056074,0.23471882640586797,214.0,0.20354734752142226
Pleural Effusion,0.5719557195571956,0.856353591160221,0.6858407079646017,905.0,0.6787080083022592
Pleural Other,0.06896551724137931,0.044444444444444446,0.05405405405405406,45.0,0.04742170382826326
Fracture,0.10457516339869281,0.1927710843373494,0.13559322033898305,83.0,0.08533790919608009
micro avg,0.36812782508146746,0.7093376544460198,0.48470588235294115,4937.0,0.34736692169492434
macro avg,0.26884576845204305,0.5060083228783469,0.34065812186965017,4937.0,0.29249942677290597
weighted avg,0.39618593781913547,0.7093376544460198,0.5025231448922671,4937.0,0.45122582069205003
samples avg,0.3588615079365079,0.654645238095238,0.43871631146631146,4937.0,0.49721318728559794
