Label,precision,recall,f1-score,support,Average Precision
No Finding,0.27419354838709675,0.5730337078651685,0.3709090909090909,178.0,0.29590626094181505
Enlarged Cardiomediastinum,0.11658456486042693,0.3480392156862745,0.17466174661746617,204.0,0.12685024467181163
Cardiomegaly,0.2980769230769231,0.5904761904761905,0.3961661341853035,315.0,0.36878700867389724
Lung Opacity,0.5697602950215119,0.8973862536302033,0.6969924812030075,1033.0,0.6157296588646592
Lung Lesion,0.0775716694772344,0.5411764705882353,0.13569321533923304,85.0,0.07915185472484819
Edema,0.4520098441345365,0.8555900621118012,0.5915190552871712,644.0,0.5486219644720726
Consolidation,0.24858757062146894,0.6751918158567775,0.3633860977288369,391.0,0.26830360694504524
Pneumonia,0.15666178623718888,0.49537037037037035,0.23804226918798665,216.0,0.15927566250502498
Atelectasis,0.34835566382460414,0.9166666666666666,0.5048543689320388,624.0,0.4364611145972186
Pneumothorax,0.22128851540616246,0.3691588785046729,0.276707530647986,214.0,0.22178760189644986
Pleural Effusion,0.5617283950617284,0.9049723756906077,0.6931866271688532,905.0,0.7098447383888415
Pleural Other,0.10344827586206896,0.06666666666666667,0.08108108108108109,45.0,0.0750533734424828
Fracture,0.11029411764705882,0.18072289156626506,0.136986301369863,83.0,0.10294171911873128
micro avg,0.3594275285755451,0.7579501721693336,0.4876205368777691,4937.0,0.2931930023657068
macro avg,0.27219701304753924,0.570342428129223,0.35847584612753214,4937.0,0.30836267763406916
weighted avg,0.39916434961963776,0.7579501721693336,0.5163071938688745,4937.0,0.4667331275950093
samples avg,0.3511065476190476,0.6962488095238095,0.44406513764013766,4937.0,0.45896350943038444
