Label,precision,recall,f1-score,support,Average Precision
No Finding,0.22727272727272727,0.6460674157303371,0.3362573099415205,178.0,0.3017212370661939
Enlarged Cardiomediastinum,0.11693548387096774,0.4264705882352941,0.18354430379746836,204.0,0.11268729474008854
Cardiomegaly,0.3447488584474886,0.4793650793650794,0.40106241699867196,315.0,0.36628019698210523
Lung Opacity,0.5734308348567947,0.9109390125847048,0.7038145100972326,1033.0,0.6249311710568792
Lung Lesion,0.07561436672967864,0.47058823529411764,0.13029315960912052,85.0,0.07493807539440306
Edema,0.4537264537264537,0.860248447204969,0.5941018766756032,644.0,0.5533322482254519
Consolidation,0.23510722795869737,0.7570332480818415,0.35878787878787877,391.0,0.2628817534784742
Pneumonia,0.1954674220963173,0.3194444444444444,0.24253075571177504,216.0,0.1659003103325304
Atelectasis,0.35922974767596283,0.8669871794871795,0.507981220657277,624.0,0.43113603070206974
Pneumothorax,0.23376623376623376,0.4205607476635514,0.3005008347245409,214.0,0.2370068849997647
Pleural Effusion,0.6037588097102584,0.8519337016574585,0.7066911090742438,905.0,0.705704543667974
Pleural Other,0.08888888888888889,0.08888888888888889,0.08888888888888889,45.0,0.08000209554518864
Fracture,0.10382513661202186,0.2289156626506024,0.14285714285714285,83.0,0.08730363869906987
micro avg,0.3646277386735402,0.7449868341097833,0.48961661341853036,4937.0,0.3571297481975204
macro avg,0.27782863012403775,0.5636494347144976,0.36133164675548957,4937.0,0.3079865754530918
weighted avg,0.41143180461031426,0.7449868341097833,0.5213127764442963,4937.0,0.4675351330489404
samples avg,0.3559396825396825,0.6904309523809523,0.44630588578088576,4937.0,0.5009978766669838
