Label,precision,recall,f1-score,support,Average Precision
No Finding,0.2753623188405797,0.5337078651685393,0.3632887189292543,178.0,0.26673073741179104
Enlarged Cardiomediastinum,0.12935323383084577,0.12745098039215685,0.12839506172839507,204.0,0.11274558253515386
Cardiomegaly,0.2693298969072165,0.6634920634920635,0.383134738771769,315.0,0.35367785480359265
Lung Opacity,0.5776478232618584,0.8606001936108422,0.6912908242612753,1033.0,0.6162621878746382
Lung Lesion,0.06958250497017893,0.4117647058823529,0.11904761904761904,85.0,0.06453350146243683
Edema,0.44706840390879476,0.8524844720496895,0.5865384615384616,644.0,0.526000420140188
Consolidation,0.23088923556942278,0.7570332480818415,0.35385534967124926,391.0,0.2619745040065793
Pneumonia,0.1566265060240964,0.4212962962962963,0.22835633626097868,216.0,0.15514933387157775
Atelectasis,0.36620739666424945,0.8092948717948718,0.5042436345481778,624.0,0.42201431981303983
Pneumothorax,0.24431818181818182,0.20093457943925233,0.2205128205128205,214.0,0.1782592715227151
Pleural Effusion,0.5944700460829493,0.8552486187845304,0.7014046216583598,905.0,0.6860565664708266
Pleural Other,0.13333333333333333,0.17777777777777778,0.1523809523809524,45.0,0.055970575193082094
Fracture,0.09803921568627451,0.18072289156626506,0.1271186440677966,83.0,0.09583615656505108
micro avg,0.3711286089238845,0.7160218756329755,0.4888673765730881,4937.0,0.3351232893308758
macro avg,0.27632523822292165,0.5270621972566523,0.3507359833367008,4937.0,0.2919393085900517
weighted avg,0.4066877467882478,0.7160218756329755,0.5094587847688967,4937.0,0.4519947597762626
samples avg,0.35625555555555555,0.653154761904762,0.437703971028971,4937.0,0.4987113716310145
