Label,precision,recall,f1-score,support,Average Precision
No Finding,0.2920353982300885,0.3707865168539326,0.32673267326732675,178.0,0.27586447930979946
Enlarged Cardiomediastinum,0.11594202898550725,0.39215686274509803,0.1789709172259508,204.0,0.11424420244709996
Cardiomegaly,0.3087248322147651,0.4380952380952381,0.36220472440944884,315.0,0.3323740978978264
Lung Opacity,0.5523059617547806,0.9506292352371732,0.6986837424404126,1033.0,0.6144086288374259
Lung Lesion,0.058333333333333334,0.24705882352941178,0.09438202247191012,85.0,0.06331664437336365
Edema,0.43160377358490565,0.8524844720496895,0.5730688935281837,644.0,0.5136679981642757
Consolidation,0.23341729638958858,0.710997442455243,0.35145385587863465,391.0,0.254265009586788
Pneumonia,0.14545454545454545,0.5925925925925926,0.23357664233576642,216.0,0.14844682024728723
Atelectasis,0.37480190174326466,0.7580128205128205,0.5015906680805938,624.0,0.4124880253619235
Pneumothorax,0.1831831831831832,0.2850467289719626,0.2230347349177331,214.0,0.18649645189502204
Pleural Effusion,0.5551771117166212,0.9005524861878453,0.6868942267172355,905.0,0.6711250454761222
Pleural Other,0.045454545454545456,0.044444444444444446,0.0449438202247191,45.0,0.03517828790701857
Fracture,0.11475409836065574,0.08433734939759036,0.09722222222222222,83.0,0.10479099402150027
micro avg,0.3595685177786656,0.7291877658497063,0.481637567730283,4937.0,0.4899055046692098
macro avg,0.2623990777235219,0.5097842317748493,0.3363660879784721,4937.0,0.2866666681173425
weighted avg,0.3921598708464233,0.7291877658497063,0.503930794107611,4937.0,0.4444823772942014
samples avg,0.34821825396825395,0.6593261904761905,0.4324566683316683,4937.0,0.5866140923890923
