Label,precision,recall,f1-score,support,Average Precision
No Finding,0.23444976076555024,0.550561797752809,0.3288590604026846,178.0,0.2639572544668023
Enlarged Cardiomediastinum,0.10562571756601608,0.45098039215686275,0.17116279069767443,204.0,0.10970418472919147
Cardiomegaly,0.25696969696969696,0.6730158730158731,0.3719298245614035,315.0,0.33698637782922025
Lung Opacity,0.5537848605577689,0.9419167473378509,0.6974910394265234,1033.0,0.6114656509370068
Lung Lesion,0.06060606060606061,0.32941176470588235,0.10237659963436929,85.0,0.06867371898226171
Edema,0.4433249370277078,0.8198757763975155,0.5754768392370572,644.0,0.5149218890554133
Consolidation,0.2222222222222222,0.7416879795396419,0.3419811320754717,391.0,0.25510566542945345
Pneumonia,0.1601489757914339,0.39814814814814814,0.22841965471447542,216.0,0.15573264686800764
Atelectasis,0.38671209540034074,0.7275641025641025,0.5050055617352615,624.0,0.41261094826684547
Pneumothorax,0.20212765957446807,0.17757009345794392,0.1890547263681592,214.0,0.19429351417541013
Pleural Effusion,0.5784386617100372,0.8596685082872928,0.6915555555555556,905.0,0.6813892114303569
Pleural Other,0.0,0.0,0.0,45.0,0.03718447707155609
Fracture,0.125,0.08433734939759036,0.10071942446043165,83.0,0.09214600339480848
micro avg,0.3535562789780014,0.7259469313348187,0.47552076422979966,4937.0,0.4912095379053347
macro avg,0.256108511399331,0.5195952717508857,0.33107940068223596,4937.0,0.28724396481817954
weighted avg,0.39433753637530794,0.7259469313348187,0.502993983388586,4937.0,0.44622584582379454
samples avg,0.34217499999999995,0.6669261904761904,0.4292874597624598,4937.0,0.5861002467373896
