Label,precision,recall,f1-score,support,Average Precision
No Finding,0.23492723492723494,0.6348314606741573,0.34294385432473445,178.0,0.27907201737858767
Enlarged Cardiomediastinum,0.11620294599018004,0.3480392156862745,0.17423312883435582,204.0,0.11907606275041227
Cardiomegaly,0.2580246913580247,0.6634920634920635,0.37155555555555553,315.0,0.3353324448025473
Lung Opacity,0.5401069518716578,0.9777347531461762,0.6958318980365139,1033.0,0.615204977975849
Lung Lesion,0.09090909090909091,0.18823529411764706,0.12260536398467432,85.0,0.06739365175283583
Edema,0.45501730103806226,0.8167701863354038,0.5844444444444444,644.0,0.5270815934406726
Consolidation,0.24513274336283186,0.7084398976982097,0.36423405654174884,391.0,0.2676029927350472
Pneumonia,0.15796703296703296,0.5324074074074074,0.24364406779661016,216.0,0.16187150130246575
Atelectasis,0.3750985027580772,0.7628205128205128,0.502905441098785,624.0,0.42786641901242217
Pneumothorax,0.2181208053691275,0.3037383177570093,0.25390625,214.0,0.20791364776094384
Pleural Effusion,0.5574324324324325,0.9116022099447514,0.6918238993710691,905.0,0.6890043706459869
Pleural Other,0.11475409836065574,0.15555555555555556,0.1320754716981132,45.0,0.05646788319792116
Fracture,0.125,0.25301204819277107,0.16733067729083664,83.0,0.10846244981415175
micro avg,0.36442664582926354,0.7557220984403484,0.4917298187808896,4937.0,0.3404226709921271
macro avg,0.2683610639495699,0.5582060709867647,0.35750262376749553,4937.0,0.29710384712075716
weighted avg,0.3921838177191393,0.7557220984403484,0.5121226720791079,4937.0,0.45502195237381804
samples avg,0.35395178571428576,0.6994702380952381,0.4478778693528694,4937.0,0.49632685811542954
