Label,precision,recall,f1-score,support,Average Precision
No Finding,0.3386243386243386,0.3595505617977528,0.34877384196185285,178.0,0.28750844453619545
Enlarged Cardiomediastinum,0.07692307692307693,0.00980392156862745,0.017391304347826087,204.0,0.1157418694159556
Cardiomegaly,0.32857142857142857,0.36507936507936506,0.3458646616541353,315.0,0.33871797270193393
Lung Opacity,0.576530612244898,0.8751210067763795,0.695117262591311,1033.0,0.6172858200675908
Lung Lesion,0.0,0.0,0.0,85.0,0.06319941716795513
Edema,0.4722222222222222,0.7127329192546584,0.568069306930693,644.0,0.5186646655642373
Consolidation,0.26218487394957984,0.3989769820971867,0.31643002028397565,391.0,0.2547319262108755
Pneumonia,0.1,0.004629629629629629,0.008849557522123894,216.0,0.14961561329714596
Atelectasis,0.3940936863543788,0.6201923076923077,0.48194271481942713,624.0,0.4176955187593759
Pneumothorax,0.391304347826087,0.04205607476635514,0.0759493670886076,214.0,0.19070832950424377
Pleural Effusion,0.5465191932335719,0.9281767955801105,0.687960687960688,905.0,0.6765950287866709
Pleural Other,0.0,0.0,0.0,45.0,0.03883018465802572
Fracture,0.21428571428571427,0.07228915662650602,0.10810810810810811,83.0,0.11248998868786216
micro avg,0.46818326439707286,0.5961109985821349,0.5244587008821171,4937.0,0.4990565952979549
macro avg,0.28471226878733047,0.337585286220683,0.28111206409759604,4937.0,0.2909065214890822
weighted avg,0.414277523622408,0.5961109985821349,0.47248696796331835,4937.0,0.4487149125713811
samples avg,0.4321988095238095,0.5400142857142858,0.45042332944832947,4937.0,0.5904788253380217
