Label,precision,recall,f1-score,support,Average Precision
No Finding,0.2795031055900621,0.5056179775280899,0.36,178.0,0.28750844453619545
Enlarged Cardiomediastinum,0.10526315789473684,0.18627450980392157,0.13451327433628318,204.0,0.1157418694159556
Cardiomegaly,0.29182156133828996,0.4984126984126984,0.36811254396248533,315.0,0.33871797270193393
Lung Opacity,0.5531674208144797,0.9467570183930301,0.6983220278471974,1033.0,0.6172858200675908
Lung Lesion,0.0633245382585752,0.2823529411764706,0.10344827586206896,85.0,0.06319941716795513
Edema,0.4318181818181818,0.8555900621118012,0.5739583333333333,644.0,0.5186646655642373
Consolidation,0.2296137339055794,0.8209718670076727,0.3588596981553941,391.0,0.2547319262108755
Pneumonia,0.1724137931034483,0.25462962962962965,0.205607476635514,216.0,0.14961561329714596
Atelectasis,0.372803666921314,0.782051282051282,0.5049146404552509,624.0,0.4176955187593759
Pneumothorax,0.17114914425427874,0.32710280373831774,0.2247191011235955,214.0,0.19070832950424377
Pleural Effusion,0.5705173635719348,0.8895027624309392,0.6951640759930915,905.0,0.6765950287866709
Pleural Other,0.045454545454545456,0.022222222222222223,0.029850746268656716,45.0,0.03883018465802572
Fracture,0.10784313725490197,0.13253012048192772,0.11891891891891893,83.0,0.11248998868786216
micro avg,0.37330975660495114,0.7269596921207211,0.49329942959246786,4937.0,0.4990565952979549
macro avg,0.2611302577061791,0.500308914999077,0.3366453163762915,4937.0,0.2909065214890822
weighted avg,0.39328233190972633,0.7269596921207211,0.5054656890898412,4937.0,0.4487149125713811
samples avg,0.3623688492063492,0.6655595238095239,0.4451044261294261,4937.0,0.5904788253380217
