,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3577235772357723,0.247191011235955,0.292358803986711,178.0,0.2900816443896847
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.07026018344747978
2,Cardiomegaly,0.2845188284518828,0.2775510204081632,0.2809917355371901,245.0,0.2509625562432306
3,Lung Opacity,0.5224049914917753,0.934077079107505,0.6700618406693343,986.0,0.5933692424420749
4,Lung Lesion,0.0,0.0,0.0,74.0,0.04796987023653043
5,Edema,0.4025316455696202,0.6115384615384616,0.4854961832061069,520.0,0.427119592426053
6,Consolidation,0.0625,0.0147058823529411,0.0238095238095238,136.0,0.09847873849756204
7,Pneumonia,0.0,0.0,0.0,49.0,0.035972409021956364
8,Atelectasis,0.2026143790849673,0.0996784565916398,0.1336206896551724,311.0,0.18882380684209402
9,Pneumothorax,0.2589285714285714,0.1567567567567567,0.1952861952861952,185.0,0.168488129545398
10,Pleural Effusion,0.5095541401273885,0.7950310559006211,0.621057738961669,805.0,0.6040971983214594
11,Pleural Other,0.0,0.0,0.0,26.0,0.019808073960910562
12,Fracture,0.0588235294117647,0.0128205128205128,0.0210526315789473,78.0,0.05279141988743624
13,micro avg,0.4553314121037464,0.5567904581187314,0.5009756097560976,3689.0,0.4589678549924706
14,macro avg,0.2045845894462878,0.2422577105163505,0.2095181032839115,3689.0,0.21909406655860542
15,weighted avg,0.3773336575581857,0.5567904581187314,0.4382047962752742,3689.0,0.41381420921479073
16,samples avg,0.42535,0.483225,0.4238130952380952,3689.0,0.5648553692141193
