,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3142857142857143,0.4943820224719101,0.3842794759825327,178.0,0.32951623486337545
1,Enlarged Cardiomediastinum,0.087719298245614,0.0520833333333333,0.065359477124183,96.0,0.06787449987615388
2,Cardiomegaly,0.2184724689165186,0.5020408163265306,0.3044554455445544,245.0,0.2594866372432214
3,Lung Opacity,0.5135135135135135,0.9634888438133874,0.6699576868829337,986.0,0.5988004314069307
4,Lung Lesion,0.043103448275862,0.0675675675675675,0.0526315789473684,74.0,0.05334008300738327
5,Edema,0.3560295324036095,0.8346153846153846,0.4991374353076481,520.0,0.43327074608314864
6,Consolidation,0.1351351351351351,0.1102941176470588,0.1214574898785425,136.0,0.10895807649510497
7,Pneumonia,0.0476190476190476,0.0204081632653061,0.0285714285714285,49.0,0.04446286400243716
8,Atelectasis,0.2412935323383084,0.3118971061093247,0.2720897615708275,311.0,0.2103593126136203
9,Pneumothorax,0.1704035874439461,0.2054054054054054,0.1862745098039215,185.0,0.15801929409880971
10,Pleural Effusion,0.4560339599757428,0.9341614906832298,0.612876935615322,805.0,0.6224717170808879
11,Pleural Other,0.0,0.0,0.0,26.0,0.05024030189699119
12,Fracture,0.0555555555555555,0.0384615384615384,0.0454545454545454,78.0,0.05717268699672622
13,micro avg,0.3834758704948076,0.680672268907563,0.4905734101787633,3689.0,0.4676579663876168
14,macro avg,0.2030126764391206,0.3488312145923059,0.2494265977449082,3689.0,0.23030560658959928
15,weighted avg,0.3554508907740472,0.680672268907563,0.462781954366334,3689.0,0.4247538605169827
16,samples avg,0.3825625,0.6029249999999999,0.4415795093795094,3689.0,0.569830158036408
