,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3831775700934579,0.4606741573033708,0.4183673469387755,178.0,0.35518571725473597
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.07878367218718124
2,Cardiomegaly,0.2342105263157894,0.363265306122449,0.2848,245.0,0.2264755538408637
3,Lung Opacity,0.5243212669683258,0.9401622718052738,0.673202614379085,986.0,0.6118682979211209
4,Lung Lesion,0.054054054054054,0.054054054054054,0.054054054054054,74.0,0.05793487096589091
5,Edema,0.3612693246541903,0.8538461538461538,0.5077186963979416,520.0,0.4258384665769994
6,Consolidation,0.2068965517241379,0.088235294117647,0.1237113402061855,136.0,0.11574500106162697
7,Pneumonia,0.125,0.0204081632653061,0.0350877192982456,49.0,0.03578742322833606
8,Atelectasis,0.1829059829059829,0.6881028938906752,0.2889939230249831,311.0,0.19707677968387813
9,Pneumothorax,0.2040816326530612,0.2162162162162162,0.2099737532808399,185.0,0.1888123799358722
10,Pleural Effusion,0.4824797843665768,0.8894409937888199,0.6256006989951944,805.0,0.612034454453392
11,Pleural Other,0.0,0.0,0.0,26.0,0.02512457988900244
12,Fracture,0.1041666666666666,0.0641025641025641,0.0793650793650793,78.0,0.0660058257014886
13,micro avg,0.3817414884001205,0.6869070208728653,0.4907523966301927,3689.0,0.4578027240651611
14,macro avg,0.2201971815694032,0.3568083129625022,0.2539134789184911,3689.0,0.2305133094384914
15,weighted avg,0.3686232108021431,0.6869070208728653,0.4698027165824878,3689.0,0.4249128836224634
16,samples avg,0.3738297619047618,0.6070916666666667,0.4374782106782106,3689.0,0.5616058025770526
