,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2507645259938837,0.4606741573033708,0.3247524752475247,178.0,0.2765344373076935
1,Enlarged Cardiomediastinum,0.1,0.0520833333333333,0.0684931506849315,96.0,0.07101476127647319
2,Cardiomegaly,0.1813125695216907,0.6653061224489796,0.2849650349650349,245.0,0.2197075128009222
3,Lung Opacity,0.5090715048025614,0.9675456389452332,0.6671328671328671,986.0,0.6039843267614466
4,Lung Lesion,0.074074074074074,0.027027027027027,0.0396039603960396,74.0,0.05691426053321327
5,Edema,0.3308011049723757,0.921153846153846,0.4867886178861789,520.0,0.4226347868232213
6,Consolidation,0.1290322580645161,0.1470588235294117,0.1374570446735395,136.0,0.10365145635822597
7,Pneumonia,0.1666666666666666,0.0204081632653061,0.0363636363636363,49.0,0.056897700821215404
8,Atelectasis,0.1702806122448979,0.8585209003215434,0.2841937200638637,311.0,0.1913128489822798
9,Pneumothorax,0.2941176470588235,0.054054054054054,0.091324200913242,185.0,0.15508472039318488
10,Pleural Effusion,0.4513274336283185,0.9503105590062112,0.612,805.0,0.5865502465126139
11,Pleural Other,0.0,0.0,0.0,26.0,0.040392090222559116
12,Fracture,0.03125,0.0128205128205128,0.0181818181818181,78.0,0.05381968716443609
13,micro avg,0.3387136520453425,0.7451883979398211,0.4657348581109699,3689.0,0.4396787698720054
14,macro avg,0.2068229536175237,0.3951510106314483,0.2347120405006674,3689.0,0.2183460643044219
15,weighted avg,0.3461481154541748,0.7451883979398211,0.4521238493287575,3689.0,0.40983296591821883
16,samples avg,0.3363833333333333,0.6543499999999999,0.4209838383838383,3689.0,0.5539033464220963
