,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2415966386554622,0.6460674157303371,0.3516819571865443,178.0,0.3079312067930229
1,Enlarged Cardiomediastinum,0.0746268656716417,0.0520833333333333,0.0613496932515337,96.0,0.06275157499729742
2,Cardiomegaly,0.2132075471698113,0.4612244897959183,0.2916129032258064,245.0,0.21569770044385855
3,Lung Opacity,0.5239154616240267,0.9553752535496958,0.6767241379310345,986.0,0.6166939378835765
4,Lung Lesion,0.1219512195121951,0.0675675675675675,0.0869565217391304,74.0,0.06106064515713944
5,Edema,0.369546621043627,0.8307692307692308,0.5115452930728241,520.0,0.44336215300374426
6,Consolidation,0.1848739495798319,0.1617647058823529,0.1725490196078431,136.0,0.11210551181035963
7,Pneumonia,0.0263157894736842,0.0204081632653061,0.0229885057471264,49.0,0.034589803090575834
8,Atelectasis,0.2079002079002079,0.3215434083601286,0.2525252525252525,311.0,0.20431928006870614
9,Pneumothorax,0.1662269129287599,0.3405405405405405,0.2234042553191489,185.0,0.1585227904407558
10,Pleural Effusion,0.4937413073713491,0.8819875776397516,0.6330806954971021,805.0,0.6256054762771116
11,Pleural Other,0.048780487804878,0.0769230769230769,0.0597014925373134,26.0,0.029591110106977764
12,Fracture,0.1153846153846153,0.0769230769230769,0.0923076923076923,78.0,0.06915453508681547
13,micro avg,0.3795444260069392,0.6820276497695853,0.4876914130645474,3689.0,0.4617791396964807
14,macro avg,0.21446674031693,0.3763982954061781,0.2643405707652579,3689.0,0.22626044039691856
15,weighted avg,0.3658836616108289,0.6820276497695853,0.4723401729810377,3689.0,0.427323384648308
16,samples avg,0.3756011904761905,0.61245,0.4398411616161616,3689.0,0.5710669844507344
