,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2453271028037383,0.5898876404494382,0.3465346534653465,178.0,0.31185552731998845
1,Enlarged Cardiomediastinum,0.0458015267175572,0.0625,0.052863436123348,96.0,0.059951393220691276
2,Cardiomegaly,0.2236135957066189,0.5102040816326531,0.3109452736318407,245.0,0.23554139574564842
3,Lung Opacity,0.5171849427168577,0.9614604462474644,0.6725789286981199,986.0,0.6023176992719108
4,Lung Lesion,0.0,0.0,0.0,74.0,0.04486078066224122
5,Edema,0.3744333635539438,0.7942307692307692,0.5089340727048676,520.0,0.4374288114364612
6,Consolidation,0.1666666666666666,0.0808823529411764,0.1089108910891089,136.0,0.10146834877765383
7,Pneumonia,0.0681818181818181,0.0612244897959183,0.064516129032258,49.0,0.043073223173770325
8,Atelectasis,0.191860465116279,0.6366559485530546,0.2948622486969471,311.0,0.19826283527161057
9,Pneumothorax,0.1574074074074074,0.3675675675675676,0.2204213938411669,185.0,0.17187222767260302
10,Pleural Effusion,0.4960460100647016,0.8571428571428571,0.6284153005464481,805.0,0.6183563236847587
11,Pleural Other,0.0576923076923076,0.1153846153846153,0.0769230769230769,26.0,0.02968729051018556
12,Fracture,0.0769230769230769,0.0769230769230769,0.0769230769230769,78.0,0.04856333223105248
13,micro avg,0.3593248709722416,0.698292220113852,0.474488856142936,3689.0,0.44916694475622754
14,macro avg,0.2016260218116133,0.3933895266052761,0.2586791139750466,3689.0,0.2233260914598905
15,weighted avg,0.3602910797669121,0.698292220113852,0.4703377059862585,3689.0,0.42161676011374183
16,samples avg,0.3575886904761904,0.6205833333333334,0.4282249361749361,3689.0,0.5663816637991638
