,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2910216718266253,0.5280898876404494,0.3752495009980039,178.0,0.3274583620764043
1,Enlarged Cardiomediastinum,0.1515151515151515,0.15625,0.1538461538461538,96.0,0.08858560538635019
2,Cardiomegaly,0.2198443579766537,0.4612244897959183,0.2977602108036891,245.0,0.25749040525296624
3,Lung Opacity,0.502079002079002,0.9797160243407708,0.6639175257731958,986.0,0.6148057518523875
4,Lung Lesion,0.0631067961165048,0.1756756756756756,0.0928571428571428,74.0,0.05927489518565419
5,Edema,0.3561532192339038,0.8403846153846154,0.5002862049227247,520.0,0.4401174998856786
6,Consolidation,0.1466666666666666,0.1617647058823529,0.1538461538461538,136.0,0.09675850216731058
7,Pneumonia,0.0666666666666666,0.0612244897959183,0.0638297872340425,49.0,0.037967154392647445
8,Atelectasis,0.2197802197802197,0.3858520900321543,0.2800466744457409,311.0,0.20173389238285636
9,Pneumothorax,0.1507246376811594,0.5621621621621622,0.2377142857142857,185.0,0.1785199654671982
10,Pleural Effusion,0.4590464547677261,0.9329192546583852,0.6153215895124948,805.0,0.6268968779864317
11,Pleural Other,0.0,0.0,0.0,26.0,0.02310207603728016
12,Fracture,0.0754716981132075,0.0512820512820512,0.0610687022900763,78.0,0.07541232575415265
13,micro avg,0.3558728448275862,0.7161832474925454,0.475479168541348,3689.0,0.4745005593587581
14,macro avg,0.2078520417248836,0.4074265728192656,0.2689033794033619,3689.0,0.23293256260210143
15,weighted avg,0.3523981786380773,0.7161832474925454,0.4693351755437498,3689.0,0.4313479676150113
16,samples avg,0.3577285714285714,0.6398083333333334,0.4344785714285714,3689.0,0.5761579805379804
