,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.272463768115942,0.5280898876404494,0.3594646271510516,178.0,0.2936921390764437
1,Enlarged Cardiomediastinum,0.0697674418604651,0.03125,0.0431654676258992,96.0,0.07647772690131895
2,Cardiomegaly,0.2417302798982188,0.3877551020408163,0.2978056426332288,245.0,0.23495361775226276
3,Lung Opacity,0.5046728971962616,0.9858012170385396,0.6675824175824175,986.0,0.6089791275650348
4,Lung Lesion,0.056910569105691,0.0945945945945946,0.0710659898477157,74.0,0.04675155171744863
5,Edema,0.3589128697042366,0.8634615384615385,0.5070581592320723,520.0,0.4549428576924017
6,Consolidation,0.1216216216216216,0.1323529411764706,0.1267605633802817,136.0,0.11518242643315246
7,Pneumonia,0.0,0.0,0.0,49.0,0.040104890395942144
8,Atelectasis,0.2292490118577075,0.3729903536977492,0.2839657282741738,311.0,0.2045125362495699
9,Pneumothorax,0.121244635193133,0.6108108108108108,0.2023276633840644,185.0,0.17061883422057925
10,Pleural Effusion,0.4855453350854139,0.9180124223602484,0.6351525569402664,805.0,0.6123761548112285
11,Pleural Other,0.0256410256410256,0.0384615384615384,0.0307692307692307,26.0,0.03525635026737664
12,Fracture,0.0888888888888888,0.0512820512820512,0.065040650406504,78.0,0.0652412235493918
13,micro avg,0.3574264202600958,0.7077798861480076,0.4749863561942878,3689.0,0.46186729575424534
14,macro avg,0.1982037187822004,0.3857586505819081,0.2530891305559158,3689.0,0.22762226435631933
15,weighted avg,0.3555448441844998,0.7077798861480076,0.4685309665663993,3689.0,0.4254356566520138
16,samples avg,0.3581329365079365,0.6341499999999999,0.4337359668109667,3689.0,0.5717599105755355
