,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3016949152542373,0.5,0.3763213530655391,178.0,0.3303537181579743
1,Enlarged Cardiomediastinum,0.5,0.0104166666666666,0.0204081632653061,96.0,0.08601365384163345
2,Cardiomegaly,0.4204545454545454,0.1510204081632653,0.2222222222222222,245.0,0.2607932778900826
3,Lung Opacity,0.539828431372549,0.8935091277890467,0.6730328495034378,986.0,0.624164777357977
4,Lung Lesion,0.0,0.0,0.0,74.0,0.05613349765901296
5,Edema,0.3941605839416058,0.7269230769230769,0.5111561866125761,520.0,0.4372606957921306
6,Consolidation,0.5,0.0073529411764705,0.0144927536231884,136.0,0.1165015504238045
7,Pneumonia,0.0,0.0,0.0,49.0,0.03619201236528308
8,Atelectasis,0.2289719626168224,0.315112540192926,0.2652232746955345,311.0,0.2112414696402572
9,Pneumothorax,0.226890756302521,0.1459459459459459,0.1776315789473684,185.0,0.16636563507543634
10,Pleural Effusion,0.5373790677220757,0.7590062111801242,0.6292481977342945,805.0,0.6121261509519618
11,Pleural Other,0.0,0.0,0.0,26.0,0.04030141878858381
12,Fracture,0.2,0.0128205128205128,0.0240963855421686,78.0,0.06111685041724081
13,micro avg,0.4549153994431356,0.5757657901870425,0.5082555635319455,3689.0,0.466819613100792
14,macro avg,0.2961061740511044,0.2709313408352334,0.2241409973239719,3689.0,0.2337357467970291
15,weighted avg,0.4259481201790878,0.5757657901870425,0.4550127535617331,3689.0,0.4311679041869384
16,samples avg,0.4223166666666667,0.509525,0.4346396825396825,3689.0,0.5750419582963333
