,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3453237410071942,0.2696629213483146,0.3028391167192429,178.0,0.3112917586372364
1,Enlarged Cardiomediastinum,0.0769230769230769,0.0104166666666666,0.018348623853211,96.0,0.061392065642029744
2,Cardiomegaly,0.263803680981595,0.1755102040816326,0.2107843137254902,245.0,0.2142175358292998
3,Lung Opacity,0.5542168674698795,0.0466531440162271,0.0860617399438727,986.0,0.5518221523988025
4,Lung Lesion,0.0416666666666666,0.0135135135135135,0.0204081632653061,74.0,0.0472072544160515
5,Edema,0.4833333333333333,0.0557692307692307,0.1,520.0,0.39525399018865837
6,Consolidation,0.0,0.0,0.0,136.0,0.10158430328118948
7,Pneumonia,0.0833333333333333,0.0204081632653061,0.0327868852459016,49.0,0.028303918044799405
8,Atelectasis,0.0,0.0,0.0,311.0,0.18857276616295926
9,Pneumothorax,0.2159090909090909,0.1027027027027027,0.1391941391941392,185.0,0.14959197605511793
10,Pleural Effusion,0.6821705426356589,0.1093167701863354,0.1884368308351177,805.0,0.5852189516288646
11,Pleural Other,0.0,0.0,0.0,26.0,0.02353255241214573
12,Fracture,0.1111111111111111,0.0128205128205128,0.0229885057471264,78.0,0.06065248670557248
13,micro avg,0.378415300546448,0.0750880997560314,0.1253110156073286,3689.0,0.278181003947514
14,macro avg,0.2198301111054569,0.0628287561054186,0.0862960245022621,3689.0,0.2091262854925175
15,weighted avg,0.416426974723839,0.0750880997560314,0.11561894621672,3689.0,0.39167143428345125
16,samples avg,0.1188333333333333,0.0745333333333333,0.085147619047619,3689.0,0.443024929052429
