,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3793103448275862,0.0617977528089887,0.1062801932367149,178.0,0.28598521027829904
1,Enlarged Cardiomediastinum,0.1044776119402985,0.0729166666666666,0.0858895705521472,96.0,0.06527211984475145
2,Cardiomegaly,0.4545454545454545,0.0204081632653061,0.0390625,245.0,0.23629254306497635
3,Lung Opacity,0.6517857142857143,0.0740365111561866,0.1329690346083788,986.0,0.6008189182107131
4,Lung Lesion,0.0208333333333333,0.0135135135135135,0.0163934426229508,74.0,0.04662107478657114
5,Edema,0.5157232704402516,0.1576923076923077,0.2415316642120765,520.0,0.4323015871939228
6,Consolidation,0.1666666666666666,0.0073529411764705,0.0140845070422535,136.0,0.09850855960677789
7,Pneumonia,0.0597014925373134,0.0816326530612244,0.0689655172413793,49.0,0.0399377883966391
8,Atelectasis,0.25,0.0032154340836012,0.0063492063492063,311.0,0.1965289896169453
9,Pneumothorax,0.2857142857142857,0.0432432432432432,0.0751173708920187,185.0,0.1514684277903434
10,Pleural Effusion,0.7266187050359713,0.1254658385093167,0.2139830508474576,805.0,0.5862288518700345
11,Pleural Other,0.0114942528735632,0.0384615384615384,0.0176991150442477,26.0,0.019120260804911096
12,Fracture,0.0,0.0,0.0,78.0,0.05315280517165152
13,micro avg,0.3861256544502617,0.0799674708593114,0.1324949472265888,3689.0,0.28795786962152814
14,macro avg,0.2789900870923414,0.0538258895106434,0.0783327055883716,3689.0,0.2163259335874259
15,weighted avg,0.4995162105875128,0.0799674708593114,0.1324297335193645,3689.0,0.41116046739118917
16,samples avg,0.1217083333333333,0.067975,0.0812023809523809,3689.0,0.4494301235801236
