,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.5208333333333334,0.1404494382022472,0.2212389380530973,178.0,0.32733312863335834
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.09612691375559093
2,Cardiomegaly,0.391304347826087,0.036734693877551,0.0671641791044776,245.0,0.21980569707855163
3,Lung Opacity,0.68,0.0172413793103448,0.0336300692383778,986.0,0.5934131512958626
4,Lung Lesion,0.2,0.054054054054054,0.0851063829787234,74.0,0.07088700747179967
5,Edema,0.4444444444444444,0.0076923076923076,0.0151228733459357,520.0,0.4231341600318764
6,Consolidation,0.1666666666666666,0.0220588235294117,0.0389610389610389,136.0,0.10371221829410043
7,Pneumonia,0.0,0.0,0.0,49.0,0.03282639432176655
8,Atelectasis,0.0,0.0,0.0,311.0,0.18485931882563086
9,Pneumothorax,1.0,0.0054054054054054,0.010752688172043,185.0,0.2271358145857018
10,Pleural Effusion,0.7555555555555555,0.0422360248447205,0.08,805.0,0.5960667835150817
11,Pleural Other,0.0,0.0,0.0,26.0,0.01910510731151179
12,Fracture,0.0,0.0,0.0,78.0,0.06915137895334011
13,micro avg,0.4532710280373832,0.0262943887232312,0.0497053548552395,3689.0,0.3096854833947402
14,macro avg,0.3199080267558528,0.0250670866858494,0.042459705373361,3689.0,0.22796592877493632
15,weighted avg,0.5206988068719774,0.0262943887232312,0.047396236978566,3689.0,0.4154718555949362
16,samples avg,0.045,0.0284583333333333,0.0328833333333333,3689.0,0.4699272897010397
