,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3805970149253731,0.2865168539325842,0.3269230769230769,178.0,0.3038936436681734
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.08949791393545473
2,Cardiomegaly,0.6666666666666666,0.0244897959183673,0.0472440944881889,245.0,0.23568918019634988
3,Lung Opacity,0.6666666666666666,0.0060851926977687,0.0120603015075376,986.0,0.6276772912190977
4,Lung Lesion,0.0434782608695652,0.0135135135135135,0.0206185567010309,74.0,0.0550028182940523
5,Edema,0.7,0.0134615384615384,0.0264150943396226,520.0,0.4366697319676488
6,Consolidation,1.0,0.0073529411764705,0.0145985401459854,136.0,0.12821179461598892
7,Pneumonia,0.0909090909090909,0.0408163265306122,0.056338028169014,49.0,0.05000662933122291
8,Atelectasis,0.0,0.0,0.0,311.0,0.20212140947628643
9,Pneumothorax,0.2765957446808511,0.0702702702702702,0.1120689655172413,185.0,0.17709138787586687
10,Pleural Effusion,0.75,0.0447204968944099,0.0844079718640093,805.0,0.6108727110797746
11,Pleural Other,0.0714285714285714,0.0384615384615384,0.05,26.0,0.029420690030414247
12,Fracture,0.0,0.0,0.0,78.0,0.06893168599984922
13,micro avg,0.3780487804878049,0.0336134453781512,0.0617376151356733,3689.0,0.25863608322180004
14,macro avg,0.3574109243189834,0.0419760359890056,0.0577442022812082,3689.0,0.23192976059155232
15,weighted avg,0.556482035160037,0.0336134453781512,0.051951024991103,3689.0,0.4293466878977973
16,samples avg,0.058,0.0419333333333333,0.0455333333333333,3689.0,0.44239856134606137
