,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2684931506849315,0.550561797752809,0.3609576427255985,178.0,0.3019014379773559
1,Enlarged Cardiomediastinum,0.0623100303951367,0.4270833333333333,0.1087533156498673,96.0,0.0715168471403384
2,Cardiomegaly,0.1859039836567926,0.7428571428571429,0.2973856209150327,245.0,0.24691071848451718
3,Lung Opacity,0.5596002855103498,0.795131845841785,0.656891495601173,986.0,0.5933972658238034
4,Lung Lesion,0.0454967502321262,0.6621621621621622,0.0851433536055603,74.0,0.04907469538446207
5,Edema,0.3986175115207373,0.6653846153846154,0.4985590778097982,520.0,0.43982601916746034
6,Consolidation,0.1063829787234042,0.4044117647058823,0.1684532924961715,136.0,0.11311390872020778
7,Pneumonia,0.0452380952380952,0.3877551020408163,0.0810234541577825,49.0,0.04510209549194433
8,Atelectasis,0.1752104055087987,0.7363344051446945,0.2830655129789864,311.0,0.20309073614712286
9,Pneumothorax,0.1666666666666666,0.1837837837837838,0.1748071979434447,185.0,0.16341962509607832
10,Pleural Effusion,0.4947071277346507,0.8708074534161491,0.630963096309631,805.0,0.616217592234933
11,Pleural Other,0.0,0.0,0.0,26.0,0.020843043925815152
12,Fracture,0.062111801242236,0.1282051282051282,0.0836820083682008,78.0,0.054601889426243125
13,micro avg,0.2713525026624068,0.6907020872865275,0.3896322348803425,3689.0,0.4479922326173654
14,macro avg,0.197749137470302,0.5041906565098694,0.2638219283508651,3689.0,0.22453968269386784
15,weighted avg,0.3705140271888963,0.6907020872865275,0.4669291383826443,3689.0,0.4202687267438251
16,samples avg,0.2633388888888888,0.605875,0.3475692945942945,3689.0,0.5568375447469198
