,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3181818181818182,0.2359550561797752,0.2709677419354839,178.0,0.28275593044270814
1,Enlarged Cardiomediastinum,0.0602836879432624,0.1770833333333333,0.0899470899470899,96.0,0.07315133790183322
2,Cardiomegaly,0.2668810289389067,0.3387755102040816,0.2985611510791366,245.0,0.23863584318477898
3,Lung Opacity,0.5644573925710124,0.7860040567951319,0.6570580754557016,986.0,0.5903764281569173
4,Lung Lesion,0.045045045045045,0.0675675675675675,0.054054054054054,74.0,0.04837226207637296
5,Edema,0.3661347517730496,0.7942307692307692,0.5012135922330098,520.0,0.4353784489906145
6,Consolidation,0.0952380952380952,0.0588235294117647,0.0727272727272727,136.0,0.10223501165992448
7,Pneumonia,0.06,0.1224489795918367,0.0805369127516778,49.0,0.039438864665871445
8,Atelectasis,0.1770833333333333,0.2733118971061093,0.2149178255372945,311.0,0.18061725199318657
9,Pneumothorax,0.1602564102564102,0.1351351351351351,0.1466275659824047,185.0,0.14321091514780765
10,Pleural Effusion,0.581958195819582,0.6571428571428571,0.617269544924154,805.0,0.6337884845714459
11,Pleural Other,0.0,0.0,0.0,26.0,0.02751579356612803
12,Fracture,0.0888888888888888,0.1025641025641025,0.0952380952380952,78.0,0.057859812899057755
13,micro avg,0.3871217998448409,0.5410680401192736,0.4513284341435839,3689.0,0.3340453542338242
14,macro avg,0.2141852806145695,0.2883879072509588,0.2383937632204135,3689.0,0.21948741425051133
15,weighted avg,0.3941746428798771,0.5410680401192736,0.4485330190922776,3689.0,0.41795527823654194
16,samples avg,0.3472458333333332,0.4654166666666667,0.3702807081807082,3689.0,0.489644809033559
