,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3461538461538461,0.3539325842696629,0.35,178.0,0.31807147324985874
1,Enlarged Cardiomediastinum,0.0949367088607595,0.15625,0.1181102362204724,96.0,0.09477567513737378
2,Cardiomegaly,0.2286324786324786,0.436734693877551,0.3001402524544179,245.0,0.2283234547856569
3,Lung Opacity,0.511147362697118,0.9533468559837728,0.6654867256637168,986.0,0.6093445653356141
4,Lung Lesion,0.0428671820098383,0.8243243243243243,0.0814963259853039,74.0,0.06457833068034975
5,Edema,0.3721144967682364,0.775,0.5028072364316906,520.0,0.426486565703475
6,Consolidation,0.0878712871287128,0.5220588235294118,0.1504237288135593,136.0,0.13029645465141945
7,Pneumonia,0.0245283018867924,0.2653061224489796,0.0449050086355785,49.0,0.031055661239363243
8,Atelectasis,0.1954787234042553,0.472668810289389,0.2765757290686735,311.0,0.1957216317328731
9,Pneumothorax,0.1561969439728353,0.4972972972972973,0.2377260981912144,185.0,0.17658488932821093
10,Pleural Effusion,0.5867014341590613,0.5590062111801242,0.5725190839694656,805.0,0.5888669301342977
11,Pleural Other,0.0,0.0,0.0,26.0,0.014174641859033233
12,Fracture,0.0714285714285714,0.0128205128205128,0.0217391304347826,78.0,0.06365439645875223
13,micro avg,0.2742890307603018,0.6405529953917051,0.3841027308192458,3689.0,0.24527685656910828
14,macro avg,0.2090813336232697,0.4483650950785405,0.2555330427591443,3689.0,0.22630266694586756
15,weighted avg,0.3817067112669213,0.6405529953917051,0.4570504782643444,3689.0,0.417774769620333
16,samples avg,0.2701825396825397,0.5668083333333334,0.3438323898323898,3689.0,0.41708855415417917
