,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3780487804878049,0.1741573033707865,0.2384615384615384,178.0,0.2424628252598705
1,Enlarged Cardiomediastinum,0.0909090909090909,0.0833333333333333,0.0869565217391304,96.0,0.07995394314486327
2,Cardiomegaly,0.2259615384615384,0.3836734693877551,0.2844175491679274,245.0,0.22460507331006382
3,Lung Opacity,0.5754716981132075,0.6805273833671399,0.6236059479553904,986.0,0.611529655326787
4,Lung Lesion,0.0567375886524822,0.3243243243243243,0.096579476861167,74.0,0.05500395724836525
5,Edema,0.4395796847635727,0.4826923076923077,0.46012832263978,520.0,0.438962270858105
6,Consolidation,0.136986301369863,0.2205882352941176,0.1690140845070422,136.0,0.10784606883073436
7,Pneumonia,0.0454545454545454,0.0408163265306122,0.043010752688172,49.0,0.03380932465525985
8,Atelectasis,0.1870011402508551,0.5273311897106109,0.2760942760942761,311.0,0.188843922165212
9,Pneumothorax,0.2207792207792207,0.1837837837837838,0.2005899705014749,185.0,0.15985159047825878
10,Pleural Effusion,0.5684556407447974,0.6447204968944099,0.6041909196740396,805.0,0.599546707252224
11,Pleural Other,0.0423728813559322,0.1923076923076923,0.0694444444444444,26.0,0.031779031034112434
12,Fracture,0.0833333333333333,0.0769230769230769,0.08,78.0,0.05392327280252464
13,micro avg,0.3575734007388683,0.4985090810517755,0.4164402173913043,3689.0,0.2663310925915159
14,macro avg,0.2346993418981726,0.3088599171476885,0.2486533695949525,3689.0,0.2175475109512601
15,weighted avg,0.4111257930183532,0.4985090810517755,0.4402961523175949,3689.0,0.41568316995348487
16,samples avg,0.3202202380952381,0.4275666666666666,0.3365379509379509,3689.0,0.41933350043475043
