,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2852760736196319,0.5224719101123596,0.369047619047619,178.0,0.2876803381572705
1,Enlarged Cardiomediastinum,0.051490514905149,0.59375,0.0947630922693266,96.0,0.06992350188458747
2,Cardiomegaly,0.210727969348659,0.4489795918367347,0.286831812255541,245.0,0.21765260017797222
3,Lung Opacity,0.5401197604790419,0.9148073022312372,0.6792168674698795,986.0,0.604960799122886
4,Lung Lesion,0.0632911392405063,0.2702702702702703,0.1025641025641025,74.0,0.073100992355319
5,Edema,0.4292101341281669,0.5538461538461539,0.4836272040302267,520.0,0.4524201478406729
6,Consolidation,0.1281464530892448,0.4117647058823529,0.1954624781849912,136.0,0.1159842429725523
7,Pneumonia,0.046875,0.1224489795918367,0.0677966101694915,49.0,0.04000957894563828
8,Atelectasis,0.2626262626262626,0.2508038585209003,0.2565789473684211,311.0,0.22200801007559767
9,Pneumothorax,0.1705685618729097,0.2756756756756757,0.2107438016528925,185.0,0.16057084468248076
10,Pleural Effusion,0.6520787746170679,0.3701863354037267,0.4722662440570523,805.0,0.6125468921811217
11,Pleural Other,0.0526315789473684,0.0384615384615384,0.0444444444444444,26.0,0.031735208965965
12,Fracture,0.0967741935483871,0.1538461538461538,0.1188118811881188,78.0,0.07243376047424678
13,micro avg,0.3094304095402479,0.5345622119815668,0.3919697873186245,3689.0,0.24573053506038553
14,macro avg,0.2299858781863381,0.3790240365906878,0.2601657772847775,3689.0,0.22777130137202384
15,weighted avg,0.415987651631317,0.5345622119815668,0.4372813889088332,3689.0,0.42408879437013003
16,samples avg,0.3093708333333332,0.4762916666666666,0.3446784992784992,3689.0,0.42292987986550484
