,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3153846153846154,0.4606741573033708,0.3744292237442922,178.0,0.305530933970148
1,Enlarged Cardiomediastinum,0.0821917808219178,0.1875,0.1142857142857142,96.0,0.06498075481565377
2,Cardiomegaly,0.2993197278911564,0.1795918367346938,0.2244897959183673,245.0,0.24655681047360756
3,Lung Opacity,0.5592643051771117,0.8326572008113591,0.6691116544417278,986.0,0.6052484780285549
4,Lung Lesion,0.0505836575875486,0.3513513513513513,0.0884353741496598,74.0,0.047839425322414926
5,Edema,0.416116248348745,0.6057692307692307,0.4933437744714173,520.0,0.4278356486287429
6,Consolidation,0.0893617021276595,0.1544117647058823,0.1132075471698113,136.0,0.09804214194866134
7,Pneumonia,0.0158730158730158,0.0204081632653061,0.0178571428571428,49.0,0.034498417658108974
8,Atelectasis,0.1847635726795096,0.6784565916398714,0.2904335856847901,311.0,0.19411929070554068
9,Pneumothorax,0.180722891566265,0.1621621621621621,0.1709401709401709,185.0,0.1628584636089222
10,Pleural Effusion,0.531934306569343,0.724223602484472,0.6133613887427669,805.0,0.5781022234138109
11,Pleural Other,0.0155038759689922,0.0769230769230769,0.0258064516129032,26.0,0.022815609094922838
12,Fracture,0.0580204778156996,0.2179487179487179,0.091644204851752,78.0,0.056363609645847836
13,micro avg,0.3345661889351209,0.5885063702900515,0.4266064059736687,3689.0,0.28883550344299547
14,macro avg,0.2153107829085831,0.3578521427768842,0.2528727714515782,3689.0,0.21883013902422593
15,weighted avg,0.3919442777667451,0.5885063702900515,0.4595397232135981,3689.0,0.41195572175556633
16,samples avg,0.324825,0.5179583333333334,0.3727588383838384,3689.0,0.46053219784844784
