,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.4487179487179487,0.196629213483146,0.2734375,178.0,0.30681697071656083
1,Enlarged Cardiomediastinum,0.073394495412844,0.0833333333333333,0.0780487804878048,96.0,0.06772645714466846
2,Cardiomegaly,0.2261306532663316,0.3673469387755102,0.2799377916018662,245.0,0.24043595348169672
3,Lung Opacity,0.5775225594749795,0.7139959432048681,0.6385487528344671,986.0,0.5932611271555654
4,Lung Lesion,0.0647058823529411,0.1486486486486486,0.0901639344262295,74.0,0.06392694819280254
5,Edema,0.3922155688622754,0.7557692307692307,0.5164257555847569,520.0,0.4409282537200543
6,Consolidation,0.096,0.1764705882352941,0.1243523316062176,136.0,0.10191364216288035
7,Pneumonia,0.2,0.0612244897959183,0.09375,49.0,0.05103402556197925
8,Atelectasis,0.1976470588235294,0.5401929260450161,0.2894056847545219,311.0,0.19764643530604348
9,Pneumothorax,0.2733812949640288,0.2054054054054054,0.2345679012345679,185.0,0.2046064120466341
10,Pleural Effusion,0.6232876712328768,0.5652173913043478,0.5928338762214984,805.0,0.6286020848359974
11,Pleural Other,0.04,0.0384615384615384,0.0392156862745098,26.0,0.024601913490736635
12,Fracture,0.110091743119266,0.1538461538461538,0.1283422459893048,78.0,0.07823962055615671
13,micro avg,0.381232822928936,0.5264299268094335,0.4422179209837185,3689.0,0.30992047400362144
14,macro avg,0.255622682786694,0.3081955231775701,0.2599254031550573,3689.0,0.2307492187978289
15,weighted avg,0.4247142199497808,0.5264299268094335,0.453439788937325,3689.0,0.424895336241569
16,samples avg,0.3312315476190476,0.4533416666666667,0.3555204545454545,3689.0,0.46629782180782176
