,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3116438356164384,0.5112359550561798,0.3872340425531915,178.0,0.3011905824954825
1,Enlarged Cardiomediastinum,0.0750605326876513,0.3229166666666667,0.1218074656188605,96.0,0.06986772157337745
2,Cardiomegaly,0.2072072072072072,0.563265306122449,0.3029637760702525,245.0,0.23309469125735593
3,Lung Opacity,0.5154471544715448,0.9645030425963488,0.67184740374426,986.0,0.6041585961242183
4,Lung Lesion,0.0522243713733075,0.3648648648648648,0.0913705583756345,74.0,0.05510444288448141
5,Edema,0.3951781970649895,0.725,0.5115332428765265,520.0,0.46178510048372096
6,Consolidation,0.1244239631336405,0.1985294117647058,0.1529745042492918,136.0,0.11658386146189273
7,Pneumonia,0.046594982078853,0.5306122448979592,0.085667215815486,49.0,0.04841483299045053
8,Atelectasis,0.250936329588015,0.2154340836012861,0.231833910034602,311.0,0.21396588769762512
9,Pneumothorax,0.1633986928104575,0.2702702702702703,0.2036659877800407,185.0,0.16874109722248865
10,Pleural Effusion,0.5730478589420654,0.5652173913043478,0.5691056910569106,805.0,0.5915095054065302
11,Pleural Other,0.0662983425414364,0.4615384615384615,0.1159420289855072,26.0,0.04381484146050056
12,Fracture,0.0892857142857142,0.0641025641025641,0.0746268656716417,78.0,0.059640068106896475
13,micro avg,0.3194169261251061,0.6118189211168338,0.4197117619711762,3689.0,0.29259357756455523
14,macro avg,0.2208267062924093,0.4428838663681618,0.2708132840640159,3689.0,0.22829778685884777
15,weighted avg,0.3872319541221037,0.6118189211168338,0.4586049874243094,3689.0,0.42159888050821287
16,samples avg,0.3314410714285714,0.5486749999999999,0.3817413336663336,3689.0,0.4695777575896326
