,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.4,0.3595505617977528,0.378698224852071,178.0,0.3286508417550332
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.0827994408076764
2,Cardiomegaly,0.3275862068965517,0.1551020408163265,0.2105263157894736,245.0,0.2545286787830138
3,Lung Opacity,0.5316380839739799,0.9117647058823528,0.6716473664549869,986.0,0.6305598796947469
4,Lung Lesion,0.0,0.0,0.0,74.0,0.05786366010925133
5,Edema,0.428169014084507,0.5846153846153846,0.4943089430894309,520.0,0.44490234384177996
6,Consolidation,0.5,0.0294117647058823,0.0555555555555555,136.0,0.13166925350031092
7,Pneumonia,0.0,0.0,0.0,49.0,0.04114396943718645
8,Atelectasis,0.2857142857142857,0.0064308681672025,0.0125786163522012,311.0,0.20815132843425382
9,Pneumothorax,0.3225806451612903,0.054054054054054,0.0925925925925925,185.0,0.1791486591767258
10,Pleural Effusion,0.5234435049961568,0.8459627329192546,0.6467236467236467,805.0,0.6124024589799679
11,Pleural Other,0.0,0.0,0.0,26.0,0.04967101467728468
12,Fracture,0.0,0.0,0.0,78.0,0.07307444995029996
13,micro avg,0.4971442761360815,0.5426944971537002,0.518921721099015,3689.0,0.4866625744254792
14,macro avg,0.255317826217444,0.2266840086890931,0.1971254816469199,3689.0,0.2380435368575024
15,weighted avg,0.4164294504054841,0.5426944971537002,0.4303285051793077,3689.0,0.4347918580922799
16,samples avg,0.4416416666666666,0.4720749999999999,0.4305499999999999,3689.0,0.5882403343647092
