,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3714285714285714,0.4382022471910112,0.4020618556701031,178.0,0.3363802396554422
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.0889246024019889
2,Cardiomegaly,0.3035714285714285,0.2081632653061224,0.2469733656174334,245.0,0.25055577732258233
3,Lung Opacity,0.5290063182079264,0.934077079107505,0.6754675467546755,986.0,0.6265017817301539
4,Lung Lesion,0.0,0.0,0.0,74.0,0.05750364325928041
5,Edema,0.3769771528998242,0.825,0.517490952955368,520.0,0.44425945248461274
6,Consolidation,0.2272727272727272,0.0367647058823529,0.0632911392405063,136.0,0.12025713493439096
7,Pneumonia,0.0,0.0,0.0,49.0,0.03835232199726245
8,Atelectasis,0.2506024096385542,0.3344051446945337,0.2865013774104683,311.0,0.2190597467574347
9,Pneumothorax,0.2105263157894736,0.1513513513513513,0.1761006289308176,185.0,0.17698201473902242
10,Pleural Effusion,0.5091709464416728,0.8621118012422361,0.6402214022140221,805.0,0.6147992175725958
11,Pleural Other,0.0,0.0,0.0,26.0,0.04337485726233148
12,Fracture,0.3333333333333333,0.0128205128205128,0.0246913580246913,78.0,0.07367526947015855
13,micro avg,0.4449364651520985,0.6264570344266739,0.5203197118090735,3689.0,0.4798057474021076
14,macro avg,0.239376092583347,0.2925304698150481,0.2332922789860066,3689.0,0.23774046612209668
15,weighted avg,0.3908360139844105,0.6264570344266739,0.4648343930317783,3689.0,0.4347223711474834
16,samples avg,0.4216333333333333,0.551575,0.4502912698412699,3689.0,0.5825017093554593
