,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.6,0.0168539325842696,0.0327868852459016,178.0,0.32323149230752707
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.08607214274723987
2,Cardiomegaly,0.0,0.0,0.0,245.0,0.24275178242593265
3,Lung Opacity,0.0,0.0,0.0,986.0,0.633816537850334
4,Lung Lesion,0.0,0.0,0.0,74.0,0.06296943336196552
5,Edema,0.0,0.0,0.0,520.0,0.45874583313387407
6,Consolidation,0.0,0.0,0.0,136.0,0.1372791455034932
7,Pneumonia,0.0,0.0,0.0,49.0,0.04126084559654935
8,Atelectasis,0.0,0.0,0.0,311.0,0.20876305205979057
9,Pneumothorax,0.0,0.0,0.0,185.0,0.1720971422742536
10,Pleural Effusion,0.0,0.0,0.0,805.0,0.5948484081725288
11,Pleural Other,0.0,0.0,0.0,26.0,0.036240266549866576
12,Fracture,0.0,0.0,0.0,78.0,0.06483261995671227
13,micro avg,0.6,0.0008132285172133,0.0016242555495397,3689.0,0.3123070843366166
14,macro avg,0.0461538461538461,0.0012964563526361,0.0025220680958385,3689.0,0.2356083616876975
15,weighted avg,0.0289509352127947,0.0008132285172133,0.001582018317639,3689.0,0.43256442972282494
16,samples avg,0.0015,0.0015,0.0015,3689.0,0.4714035587560587
