,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.132669983416252,0.898876404494382,0.2312138728323699,178.0,0.3253438451718206
1,Enlarged Cardiomediastinum,0.051139864448552,0.8645833333333334,0.0965677719604421,96.0,0.08642929397312588
2,Cardiomegaly,0.1638513513513513,0.7918367346938775,0.271518544436669,245.0,0.255429705896013
3,Lung Opacity,0.5084477296726505,0.9766734279918864,0.66875,986.0,0.6231702492187905
4,Lung Lesion,0.0451664025356576,0.7702702702702703,0.0853293413173652,74.0,0.058680059897036826
5,Edema,0.3247694334650856,0.948076923076923,0.4838076545632973,520.0,0.44649948939978434
6,Consolidation,0.0754156769596199,0.9338235294117648,0.1395604395604395,136.0,0.11422984288160534
7,Pneumonia,0.0306643952299829,0.7346938775510204,0.0588716271463614,49.0,0.04029605439272144
8,Atelectasis,0.1732131358660656,0.864951768488746,0.2886266094420601,311.0,0.20861385905435137
9,Pneumothorax,0.108145106091718,0.8540540540540541,0.1919805589307412,185.0,0.15897348203135858
10,Pleural Effusion,0.5059084194977843,0.8509316770186336,0.6345530338119499,805.0,0.6097835788944559
11,Pleural Other,0.0246085011185682,0.8461538461538461,0.0478260869565217,26.0,0.046698423824080716
12,Fracture,0.0409422321929332,0.935897435897436,0.0784524449220849,78.0,0.06323253507359436
13,micro avg,0.1785906401291016,0.8999728923827596,0.2980385116028547,3689.0,0.2663616737638513
14,macro avg,0.1680724793727862,0.8669864063412441,0.2520813835292541,3689.0,0.23364464766990298
15,weighted avg,0.3358484564686611,0.8999728923827596,0.4607082244842014,3689.0,0.430625499230299
16,samples avg,0.1799387043512043,0.8161083333333333,0.2845399278825749,3689.0,0.4438705303030303
