,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.1533546325878594,0.8089887640449438,0.2578334825425246,178.0,0.3186224755710175
1,Enlarged Cardiomediastinum,0.0482180293501048,0.9583333333333334,0.091816367265469,96.0,0.06415634662440661
2,Cardiomegaly,0.1786427145708582,0.7306122448979592,0.2870890136327185,245.0,0.22386471667116722
3,Lung Opacity,0.5078369905956113,0.9858012170385396,0.670344827586207,986.0,0.6224823202534813
4,Lung Lesion,0.0412815773259396,0.9054054054054054,0.0789628756629345,74.0,0.06275539563218051
5,Edema,0.3249669749009247,0.946153846153846,0.4837758112094395,520.0,0.42377491686015967
6,Consolidation,0.0772585669781931,0.9117647058823528,0.1424468696151637,136.0,0.10961399217477122
7,Pneumonia,0.0279823269513991,0.7755102040816326,0.0540156361051883,49.0,0.04247767839992146
8,Atelectasis,0.1593816631130064,0.9614147909967846,0.2734339277549154,311.0,0.2109537119131047
9,Pneumothorax,0.1053892215568862,0.9513513513513514,0.1897574123989218,185.0,0.17465683268248394
10,Pleural Effusion,0.4749679075738126,0.9192546583850932,0.6263224714346171,805.0,0.597334568108218
11,Pleural Other,0.0198275862068965,0.8846153846153846,0.0387858347386172,26.0,0.03076355887888743
12,Fracture,0.0426065162907268,0.8717948717948718,0.081242532855436,78.0,0.060865502149835986
13,micro avg,0.173097398975815,0.9254540525887774,0.291645310097386,3689.0,0.2659924681418196
14,macro avg,0.1662857467694014,0.8931539059985768,0.2519866971386272,3689.0,0.2263324627630489
15,weighted avg,0.3295173354136024,0.9254540525887774,0.4600460195584783,3689.0,0.4222834930822095
16,samples avg,0.1744412989787989,0.8372833333333333,0.2794171374377256,3689.0,0.43132352099289595
