,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.129764801297648,0.898876404494382,0.2267895109851169,178.0,0.3084953633025561
1,Enlarged Cardiomediastinum,0.0484627410109432,0.96875,0.0923076923076923,96.0,0.08634263578900417
2,Cardiomegaly,0.1480026195153896,0.9224489795918368,0.255079006772009,245.0,0.2469560249903518
3,Lung Opacity,0.5287421741605008,0.9421906693711968,0.6773605541378053,986.0,0.6221235632156767
4,Lung Lesion,0.0437415881561238,0.8783783783783784,0.0833333333333333,74.0,0.06102998766768068
5,Edema,0.326072607260726,0.95,0.4855036855036855,520.0,0.4375695913785922
6,Consolidation,0.0753865979381443,0.8602941176470589,0.1386255924170616,136.0,0.10812290681539707
7,Pneumonia,0.0313293818797629,0.7551020408163265,0.0601626016260162,49.0,0.046870140196376774
8,Atelectasis,0.1642699115044247,0.954983922829582,0.2803209060877772,311.0,0.2011188548294527
9,Pneumothorax,0.1057818659658344,0.8702702702702703,0.1886350322202694,185.0,0.15501069292983566
10,Pleural Effusion,0.4817945383615084,0.920496894409938,0.6325224071702945,805.0,0.6041198147790603
11,Pleural Other,0.0238353196099674,0.8461538461538461,0.0463645943097997,26.0,0.03812790094014861
12,Fracture,0.0435082872928176,0.8076923076923077,0.0825688073394495,78.0,0.06746517459554395
13,micro avg,0.1754340769745994,0.9230143670371376,0.2948307212745692,3689.0,0.26695573304164893
14,macro avg,0.165437879534907,0.8904336793580865,0.2499672095546393,3689.0,0.22948866549459052
15,weighted avg,0.3340875276182303,0.9230143670371376,0.4605408600118062,3689.0,0.42558088586112897
16,samples avg,0.1753899905649905,0.8342166666666667,0.2807038993213528,3689.0,0.4350819469188219
