,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.1551155115511551,0.7921348314606742,0.2594296228150874,178.0,0.27166556124610586
1,Enlarged Cardiomediastinum,0.0463169642857142,0.8645833333333334,0.0879237288135593,96.0,0.06899573869382969
2,Cardiomegaly,0.1366782006920415,0.9673469387755104,0.2395149065184436,245.0,0.22349836145840393
3,Lung Opacity,0.5451527224435591,0.8326572008113591,0.658908507223114,986.0,0.5936660918430828
4,Lung Lesion,0.0463791700569568,0.7702702702702703,0.0874904067536454,74.0,0.05664096120838023
5,Edema,0.2959483264826776,0.9692307692307692,0.4534412955465587,520.0,0.4267414929832633
6,Consolidation,0.0818965517241379,0.8382352941176471,0.1492146596858638,136.0,0.10526731936905874
7,Pneumonia,0.0336590662323561,0.6326530612244898,0.0639175257731958,49.0,0.04137685766503052
8,Atelectasis,0.1632653061224489,0.977491961414791,0.2797975149562816,311.0,0.18791030226686178
9,Pneumothorax,0.1177304964539007,0.4486486486486487,0.1865168539325842,185.0,0.14492286021494072
10,Pleural Effusion,0.4892037786774629,0.9006211180124224,0.6340183646698732,805.0,0.5787185084502702
11,Pleural Other,0.0239520958083832,0.1538461538461538,0.0414507772020725,26.0,0.026213095672599843
12,Fracture,0.0516431924882629,0.7051282051282052,0.0962379702537182,78.0,0.057758278561436206
13,micro avg,0.1918382218983421,0.8563296286256438,0.3134550506052788,3689.0,0.22744513644280231
14,macro avg,0.1682262602322352,0.7579113681749441,0.2490663180110767,3689.0,0.21410580227948184
15,weighted avg,0.3372707411629229,0.8563296286256438,0.4524707828369651,3689.0,0.404944069811332
16,samples avg,0.1929222041847041,0.7687333333333334,0.2970580426109838,3689.0,0.39138610773485777
