,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.123780945236309,0.9269662921348316,0.2183984116479153,178.0,0.31651600070842517
1,Enlarged Cardiomediastinum,0.0480620155038759,0.96875,0.0915805022156573,96.0,0.05673342015713293
2,Cardiomegaly,0.145712443584784,0.9224489795918368,0.2516703786191537,245.0,0.20766969095573323
3,Lung Opacity,0.5078369905956113,0.9858012170385396,0.670344827586207,986.0,0.6109895413247597
4,Lung Lesion,0.0415890751086281,0.9054054054054054,0.0795252225519287,74.0,0.06189301982580256
5,Edema,0.3386053199137311,0.9057692307692308,0.4929356357927786,520.0,0.44865508659177283
6,Consolidation,0.0782380013149244,0.875,0.1436330718165359,136.0,0.11317977898238643
7,Pneumonia,0.0259593679458239,0.9387755102040816,0.0505216913783635,49.0,0.033745585015931806
8,Atelectasis,0.1643984757757212,0.9710610932475884,0.2811918063314711,311.0,0.20615285016598217
9,Pneumothorax,0.0970654627539503,0.9297297297297298,0.175779253960143,185.0,0.14487396631370553
10,Pleural Effusion,0.4996496145760336,0.8857142857142857,0.6388888888888888,805.0,0.6162849333690329
11,Pleural Other,0.0224119530416221,0.8076923076923077,0.043613707165109,26.0,0.029429851830159018
12,Fracture,0.0414091470951792,0.8589743589743589,0.0790094339622641,78.0,0.06483440184362066
13,micro avg,0.1665454192734856,0.9308755760368664,0.2825407273325654,3689.0,0.24338561379950016
14,macro avg,0.164209139418938,0.9140068008078612,0.2474686793781858,3689.0,0.2239198559295727
15,weighted avg,0.3332215014446399,0.9308755760368664,0.4597666054529736,3689.0,0.42365805953290386
16,samples avg,0.1666232711732711,0.8447583333333333,0.2699199851618968,3689.0,0.42094224904724903
