,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.1342632955536181,0.8651685393258427,0.2324528301886792,178.0,0.318146867241298
1,Enlarged Cardiomediastinum,0.0544993662864385,0.4479166666666667,0.0971751412429378,96.0,0.06107772554172429
2,Cardiomegaly,0.1572700296735905,0.8653061224489796,0.2661644695543,245.0,0.23374471100531025
3,Lung Opacity,0.5329341317365269,0.9026369168356998,0.6701807228915663,986.0,0.600120940151895
4,Lung Lesion,0.0465328467153284,0.6891891891891891,0.0871794871794871,74.0,0.045248356806069014
5,Edema,0.3607230895645029,0.8442307692307692,0.5054691997697179,520.0,0.41364057831240797
6,Consolidation,0.0813953488372093,0.6176470588235294,0.1438356164383561,136.0,0.10317227354584185
7,Pneumonia,0.0361305361305361,0.6326530612244898,0.0683572216097023,49.0,0.04234052541371032
8,Atelectasis,0.1703296703296703,0.8971061093247589,0.2863006670087224,311.0,0.19374439985403238
9,Pneumothorax,0.1089978054133138,0.8054054054054054,0.1920103092783505,185.0,0.16731332335734544
10,Pleural Effusion,0.484181568088033,0.8745341614906832,0.6232846392208942,805.0,0.6017363904487532
11,Pleural Other,0.0157068062827225,0.3461538461538461,0.030050083472454,26.0,0.04182083645632306
12,Fracture,0.0542540073982737,0.5641025641025641,0.0989876265466816,78.0,0.05731998928244324
13,micro avg,0.2059333333333333,0.8373542965573326,0.3305687837765531,3689.0,0.26127246260296705
14,macro avg,0.172093730923828,0.7193884930940327,0.253957539569373,3689.0,0.22149437826285803
15,weighted avg,0.3427861456227413,0.8373542965573326,0.4618401206399497,3689.0,0.41398521758728324
16,samples avg,0.2078741896991897,0.7560916666666667,0.3130580710955711,3689.0,0.4356263764476264
