,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.1198529411764705,0.9157303370786516,0.211963589076723,178.0,0.29971153792226035
1,Enlarged Cardiomediastinum,0.0476190476190476,0.9895833333333334,0.0908656145384983,96.0,0.08305717087948467
2,Cardiomegaly,0.1487658438959306,0.9102040816326532,0.2557339449541284,245.0,0.2441423054999313
3,Lung Opacity,0.5095238095238095,0.9766734279918864,0.6696801112656467,986.0,0.609824622751804
4,Lung Lesion,0.0394456289978678,1.0,0.0758974358974359,74.0,0.06134068299764206
5,Edema,0.314375,0.9673076923076924,0.4745283018867924,520.0,0.46590507455333874
6,Consolidation,0.0684721512519162,0.9852941176470588,0.1280458671763019,136.0,0.09561327741507764
7,Pneumonia,0.0251410979989738,1.0,0.049049049049049,49.0,0.04443971017395431
8,Atelectasis,0.1617409994626545,0.9678456591639872,0.2771639042357274,311.0,0.20069347270038418
9,Pneumothorax,0.092824887104867,1.0,0.1698806244260789,185.0,0.1595783565050385
10,Pleural Effusion,0.4427523970671179,0.9751552795031057,0.6089992242048099,805.0,0.6101168962851429
11,Pleural Other,0.0141074335322843,1.0,0.0278223649010165,26.0,0.04066078022341382
12,Fracture,0.03913491246138,0.9743589743589745,0.0752475247524752,78.0,0.052455472686459156
13,micro avg,0.1519670320333078,0.969639468690702,0.2627538840121938,3689.0,0.24591408634751816
14,macro avg,0.1556735500071015,0.9740117617705648,0.2396059658742064,3689.0,0.22827225850722546
15,weighted avg,0.3168854741106031,0.969639468690702,0.448919421601814,3689.0,0.42630668487395906
16,samples avg,0.1512101634476634,0.8794500000000001,0.2511078612907559,3689.0,0.4227980757205757
