,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.125796178343949,0.8876404494382022,0.2203626220362622,178.0,0.3011907439098819
1,Enlarged Cardiomediastinum,0.048474945533769,0.9270833333333334,0.0921325051759834,96.0,0.0747128433058439
2,Cardiomegaly,0.1514492753623188,0.8530612244897959,0.2572307692307692,245.0,0.24926175469031922
3,Lung Opacity,0.5112419700214133,0.9685598377281948,0.6692361597757533,986.0,0.6152225988738349
4,Lung Lesion,0.0376275510204081,0.7972972972972973,0.0718635809987819,74.0,0.04706214366948659
5,Edema,0.3249001331557923,0.9384615384615383,0.4826904055390702,520.0,0.4327354753814874
6,Consolidation,0.0825350036845983,0.8235294117647058,0.1500334896182183,136.0,0.10477700796466936
7,Pneumonia,0.03046875,0.7959183673469388,0.0586907449209932,49.0,0.04592498108055787
8,Atelectasis,0.1714801444043321,0.9163987138263664,0.2889001520527116,311.0,0.20880172487394066
9,Pneumothorax,0.1056125528062764,0.945945945945946,0.1900108577633007,185.0,0.1703399934870748
10,Pleural Effusion,0.4769230769230769,0.924223602484472,0.6291754756871036,805.0,0.5873186818834022
11,Pleural Other,0.0162962962962962,0.8461538461538461,0.0319767441860465,26.0,0.03670095028738511
12,Fracture,0.0461658841940532,0.7564102564102564,0.0870206489675516,78.0,0.058797515126184405
13,micro avg,0.1735706249360744,0.9200325291406886,0.2920449167491287,3689.0,0.25730544380705744
14,macro avg,0.163767058595868,0.8754372172831457,0.2484095504578881,3689.0,0.22560357034877448
15,weighted avg,0.3289513617407967,0.9200325291406886,0.458026618610529,3689.0,0.4196937505509528
16,samples avg,0.1739726467976468,0.8348666666666666,0.2786839351352122,3689.0,0.442488793058793
