,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2745098039215686,0.4719101123595505,0.3471074380165289,178.0,0.27198391349883283
1,Enlarged Cardiomediastinum,0.049580472921434,0.6770833333333334,0.0923951670220327,96.0,0.07135600252125979
2,Cardiomegaly,0.1966824644549763,0.6775510204081633,0.3048668503213957,245.0,0.2766320516837514
3,Lung Opacity,0.5153677277716795,0.9523326572008114,0.6688034188034188,986.0,0.5893574700838381
4,Lung Lesion,0.050595238095238,0.2297297297297297,0.0829268292682926,74.0,0.04150896157954631
5,Edema,0.395021645021645,0.7019230769230769,0.5055401662049861,520.0,0.44996284226169864
6,Consolidation,0.1274509803921568,0.2867647058823529,0.1764705882352941,136.0,0.09925812718757723
7,Pneumonia,0.0389610389610389,0.0612244897959183,0.0476190476190476,49.0,0.038394099852054706
8,Atelectasis,0.2058047493403693,0.2508038585209003,0.2260869565217391,311.0,0.20154340654360975
9,Pneumothorax,0.1407185628742515,0.5081081081081081,0.2203985932004689,185.0,0.152021070498342
10,Pleural Effusion,0.5187165775401069,0.8434782608695652,0.6423841059602649,805.0,0.6219707243288545
11,Pleural Other,0.0,0.0,0.0,26.0,0.02652595667579758
12,Fracture,0.059322033898305,0.0897435897435897,0.0714285714285714,78.0,0.051336601580494315
13,micro avg,0.3016533840846913,0.6874491732176742,0.4193121693121693,3689.0,0.45861001678039315
14,macro avg,0.1979024073225208,0.4423579186826999,0.2604636717386185,3689.0,0.2224500944842813
15,weighted avg,0.3661133520970492,0.6874491732176742,0.4700232668705718,3689.0,0.42091668438386576
16,samples avg,0.3009166666666666,0.6052333333333334,0.3793588439338439,3689.0,0.566633616938617
