,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3238095238095238,0.3820224719101123,0.3505154639175257,178.0,0.28749033188000883
1,Enlarged Cardiomediastinum,0.0703296703296703,0.3333333333333333,0.1161524500907441,96.0,0.07307387566283967
2,Cardiomegaly,0.1952191235059761,0.6,0.2945891783567134,245.0,0.24918451859633317
3,Lung Opacity,0.5269565217391304,0.9219066937119677,0.6706012541497602,986.0,0.5884188986612866
4,Lung Lesion,0.0527426160337552,0.3378378378378378,0.0912408759124087,74.0,0.04608043226023406
5,Edema,0.359466221851543,0.8288461538461539,0.5014543339150669,520.0,0.429458217745707
6,Consolidation,0.134020618556701,0.1911764705882352,0.1575757575757575,136.0,0.11867186305541384
7,Pneumonia,0.0359116022099447,0.2653061224489796,0.0632603406326034,49.0,0.03481193837911857
8,Atelectasis,0.2083333333333333,0.3215434083601286,0.2528445006321112,311.0,0.1953483619286031
9,Pneumothorax,0.1391035548686244,0.4864864864864865,0.2163461538461538,185.0,0.15834860607012802
10,Pleural Effusion,0.5394614670380687,0.7217391304347827,0.6174282678002125,805.0,0.5975263194205227
11,Pleural Other,0.0,0.0,0.0,26.0,0.029464777353865608
12,Fracture,0.0909090909090909,0.0641025641025641,0.075187969924812,78.0,0.05303881211588446
13,micro avg,0.3176285826462505,0.6579018704255896,0.4284201235657546,3689.0,0.4436995046610279
14,macro avg,0.2058664110911817,0.4195615902354294,0.26209204205799,3689.0,0.2200705348561497
15,weighted avg,0.3725922025586082,0.6579018704255896,0.4663921948064989,3689.0,0.41202294042235627
16,samples avg,0.3157424603174603,0.5776749999999999,0.3826834415584416,3689.0,0.5649479216616716
