,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.3194444444444444,0.3876404494382022,0.350253807106599,178.0,0.30661574410572373
1,Enlarged Cardiomediastinum,0.0707964601769911,0.25,0.1103448275862069,96.0,0.0661107245688975
2,Cardiomegaly,0.2299794661190965,0.4571428571428571,0.3060109289617486,245.0,0.2589494727392292
3,Lung Opacity,0.5360763267740012,0.9117647058823528,0.6751783702591063,986.0,0.5978783472939615
4,Lung Lesion,0.065625,0.2837837837837837,0.1065989847715736,74.0,0.050485009221743475
5,Edema,0.3618960802187785,0.7634615384615384,0.4910327767470624,520.0,0.4281368476345274
6,Consolidation,0.112087912087912,0.375,0.1725888324873096,136.0,0.09606815066020169
7,Pneumonia,0.0,0.0,0.0,49.0,0.03871363410200876
8,Atelectasis,0.1852216748768473,0.6045016077170418,0.2835595776772247,311.0,0.196736436106652
9,Pneumothorax,0.1545988258317025,0.427027027027027,0.2270114942528735,185.0,0.1676802346343249
10,Pleural Effusion,0.5408252853380158,0.7652173913043478,0.6337448559670782,805.0,0.6045177204977119
11,Pleural Other,0.0,0.0,0.0,26.0,0.024579246369896154
12,Fracture,0.1111111111111111,0.0641025641025641,0.08130081300813,78.0,0.05272055920585648
13,micro avg,0.3361103523627424,0.6671184602873408,0.4470075379166288,3689.0,0.3299630545459175
14,macro avg,0.2067432759214539,0.4068955326815165,0.2644327129865317,3689.0,0.22224554824159498
15,weighted avg,0.3760085962248579,0.6671184602873408,0.4735767170904666,3689.0,0.41713149778703995
16,samples avg,0.3290184523809523,0.5828583333333334,0.3955079004329004,3689.0,0.4841192752155252
