,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2443324937027707,0.5449438202247191,0.3373913043478261,178.0,0.2734700411801908
1,Enlarged Cardiomediastinum,0.0661654135338345,0.4583333333333333,0.1156373193166885,96.0,0.07189844651147262
2,Cardiomegaly,0.1751760563380281,0.8122448979591836,0.2881969587255611,245.0,0.2672602430283354
3,Lung Opacity,0.546639231824417,0.808316430020284,0.6522094926350246,986.0,0.5987308051463996
4,Lung Lesion,0.0533333333333333,0.2162162162162162,0.0855614973262032,74.0,0.047601321777788586
5,Edema,0.387027027027027,0.6884615384615385,0.4955017301038062,520.0,0.4269788073716241
6,Consolidation,0.0897435897435897,0.2573529411764705,0.1330798479087452,136.0,0.09583756684478706
7,Pneumonia,0.0476190476190476,0.0816326530612244,0.0601503759398496,49.0,0.04125475309303167
8,Atelectasis,0.192,0.3858520900321543,0.2564102564102564,311.0,0.1783097879136636
9,Pneumothorax,0.1711229946524064,0.1729729729729729,0.1720430107526881,185.0,0.148402306655676
10,Pleural Effusion,0.5670859538784067,0.6720496894409937,0.6151222285389426,805.0,0.5918020160185705
11,Pleural Other,0.0253164556962025,0.0769230769230769,0.0380952380952381,26.0,0.02400733716942273
12,Fracture,0.0797872340425532,0.1923076923076923,0.112781954887218,78.0,0.05914439537310298
13,micro avg,0.3059014618299945,0.6126321496340472,0.4080527218560982,3689.0,0.27501398569160124
14,macro avg,0.203488371645509,0.4128928732407584,0.2586293242298498,3689.0,0.21728444831415888
15,weighted avg,0.3811987642194221,0.6126321496340472,0.4571468519992781,3689.0,0.4111035425648208
16,samples avg,0.2949934523809523,0.5376333333333333,0.3568695887445887,3689.0,0.43824042774355276
