,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.4666666666666667,0.1179775280898876,0.1883408071748878,178.0,0.30928653833645126
1,Enlarged Cardiomediastinum,0.0716612377850162,0.2291666666666666,0.1091811414392059,96.0,0.07227542850486945
2,Cardiomegaly,0.2302631578947368,0.4285714285714285,0.2995720399429387,245.0,0.22842286668194245
3,Lung Opacity,0.5192414947016174,0.9442190669371197,0.6700251889168766,986.0,0.5837579459064552
4,Lung Lesion,0.0738916256157635,0.2027027027027027,0.1083032490974729,74.0,0.05738241564934694
5,Edema,0.3746130030959752,0.698076923076923,0.4875755540631296,520.0,0.4253187282897376
6,Consolidation,0.0902394106813996,0.3602941176470588,0.1443298969072164,136.0,0.09404571139899501
7,Pneumonia,0.0,0.0,0.0,49.0,0.028863942838288553
8,Atelectasis,0.1661258922777417,0.8231511254019293,0.2764578833693304,311.0,0.19373034705746556
9,Pneumothorax,0.1834862385321101,0.2162162162162162,0.1985111662531017,185.0,0.15731201907714118
10,Pleural Effusion,0.5217391304347826,0.7751552795031056,0.623688155922039,805.0,0.6016486762114858
11,Pleural Other,0.0263157894736842,0.0769230769230769,0.0392156862745098,26.0,0.020469084175559975
12,Fracture,0.1481481481481481,0.0512820512820512,0.0761904761904762,78.0,0.07340820935533092
13,micro avg,0.3295392953929539,0.6592572512876118,0.4394254223507092,3689.0,0.3299586986826707
14,macro avg,0.2209532150236648,0.3787489371552436,0.2477993265808604,3689.0,0.21891707026792848
15,weighted avg,0.3764494191978495,0.6592572512876118,0.4583797863449979,3689.0,0.41016401510217415
16,samples avg,0.3170934523809524,0.5635833333333333,0.3811525974025974,3689.0,0.4856897326284826
