,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2546728971962617,0.6123595505617978,0.3597359735973597,178.0,0.33856574769966186
1,Enlarged Cardiomediastinum,0.0845070422535211,0.3125,0.1330376940133037,96.0,0.07478491075036356
2,Cardiomegaly,0.2072538860103626,0.4897959183673469,0.2912621359223301,245.0,0.22457654170167318
3,Lung Opacity,0.5462783171521035,0.8559837728194726,0.6669300671671277,986.0,0.6066986829214152
4,Lung Lesion,0.0671140939597315,0.2702702702702703,0.1075268817204301,74.0,0.054549471923936714
5,Edema,0.4162962962962963,0.5403846153846154,0.4702928870292887,520.0,0.42949579026280815
6,Consolidation,0.1072319201995012,0.3161764705882353,0.1601489757914339,136.0,0.10860956752386283
7,Pneumonia,0.037037037037037,0.0204081632653061,0.0263157894736842,49.0,0.032721778954822034
8,Atelectasis,0.1602209944751381,0.932475884244373,0.2734559170202734,311.0,0.2012471789896798
9,Pneumothorax,0.1758793969849246,0.1891891891891892,0.1822916666666666,185.0,0.15912896744270566
10,Pleural Effusion,0.5069230769230769,0.8186335403726708,0.6261282660332541,805.0,0.5989928486581263
11,Pleural Other,0.0,0.0,0.0,26.0,0.019791650234014233
12,Fracture,0.1074380165289256,0.1666666666666666,0.1306532663316583,78.0,0.07595515401149264
13,micro avg,0.3156060410481476,0.6627812415288696,0.4275970619097586,3689.0,0.2960832532710564
14,macro avg,0.2054502288474523,0.4249880032099957,0.2636753477512931,3689.0,0.22500909931342788
15,weighted avg,0.3739524552635237,0.6627812415288696,0.4647137093534916,3689.0,0.41883274831730183
16,samples avg,0.3096410714285714,0.5901333333333333,0.3831102175602175,3689.0,0.4548274711168461
