,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2385786802030456,0.5280898876404494,0.3286713286713286,178.0,0.29232456186909234
1,Enlarged Cardiomediastinum,0.0732142857142857,0.4270833333333333,0.125,96.0,0.07870936379920358
2,Cardiomegaly,0.2123287671232876,0.5061224489795918,0.2991556091676719,245.0,0.24528527192981495
3,Lung Opacity,0.5395319418089817,0.8651115618661258,0.6645890144137125,986.0,0.5921152421500934
4,Lung Lesion,0.04,0.0405405405405405,0.0402684563758389,74.0,0.046975942869472584
5,Edema,0.391395592864638,0.7173076923076923,0.506449422946368,520.0,0.43370044428653215
6,Consolidation,0.1428571428571428,0.0147058823529411,0.0266666666666666,136.0,0.10766234776191702
7,Pneumonia,0.057471264367816,0.2040816326530612,0.0896860986547085,49.0,0.04635697680590439
8,Atelectasis,0.198992443324937,0.5080385852090032,0.285972850678733,311.0,0.1961271405150608
9,Pneumothorax,0.1645962732919254,0.2864864864864865,0.2090729783037475,185.0,0.15223851813773048
10,Pleural Effusion,0.5073700543056633,0.8124223602484472,0.6246418338108882,805.0,0.600490106789979
11,Pleural Other,0.0,0.0,0.0,26.0,0.021903062776861423
12,Fracture,0.0563674321503131,0.3461538461538461,0.096947935368043,78.0,0.05681448936000523
13,micro avg,0.3312101910828025,0.648414204391434,0.4384566034277334,3689.0,0.32362949867353785
14,macro avg,0.201746452154772,0.4043187890593475,0.2536247842352083,3689.0,0.22082334377320517
15,weighted avg,0.3706672552460358,0.648414204391434,0.4639335627242936,3689.0,0.4139277922484528
16,samples avg,0.325045238095238,0.5693333333333332,0.3896048063048062,3689.0,0.47823598639786136
