,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.4545454545454545,0.0842696629213483,0.1421800947867298,178.0,0.3179641848369359
1,Enlarged Cardiomediastinum,0.0,0.0,0.0,96.0,0.08785876372395571
2,Cardiomegaly,0.0,0.0,0.0,245.0,0.2410412336936343
3,Lung Opacity,0.5768947755702722,0.795131845841785,0.6686567164179105,986.0,0.6386990716440997
4,Lung Lesion,0.0,0.0,0.0,74.0,0.06198962044463366
5,Edema,0.5027624309392266,0.175,0.2596291012838801,520.0,0.4498239905430678
6,Consolidation,0.0,0.0,0.0,136.0,0.12741779349534954
7,Pneumonia,0.0,0.0,0.0,49.0,0.0420596294283298
8,Atelectasis,0.0,0.0,0.0,311.0,0.21233618568892132
9,Pneumothorax,0.0,0.0,0.0,185.0,0.18531727329446268
10,Pleural Effusion,0.5622270742358079,0.639751552795031,0.5984892504357932,805.0,0.6014112154503489
11,Pleural Other,0.0,0.0,0.0,26.0,0.04171722876203881
12,Fracture,0.0,0.0,0.0,78.0,0.07201184024075884
13,micro avg,0.5640305098354075,0.3808620222282461,0.4546925566343042,3689.0,0.48653743150650625
14,macro avg,0.161263825791597,0.1303194662737049,0.1283811663787933,3689.0,0.23689600240357978
15,weighted avg,0.3696819188044463,0.3808620222282461,0.3527770557138869,3689.0,0.4345046763621589
16,samples avg,0.39425,0.322275,0.3328547619047619,3689.0,0.5848408984765234
