,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2013729977116704,0.4943820224719101,0.2861788617886179,178.0,0.22530050613701458
1,Enlarged Cardiomediastinum,0.0700636942675159,0.1145833333333333,0.0869565217391304,96.0,0.059655012019414665
2,Cardiomegaly,0.2293233082706766,0.2489795918367346,0.2387475538160469,245.0,0.20998291725893897
3,Lung Opacity,0.5611313868613139,0.6237322515212982,0.590778097982709,986.0,0.5559876724207461
4,Lung Lesion,0.0338983050847457,0.054054054054054,0.0416666666666666,74.0,0.04279804815752084
5,Edema,0.3873343151693667,0.5057692307692307,0.4386989157631359,520.0,0.3846553289169551
6,Consolidation,0.1049382716049382,0.125,0.1140939597315436,136.0,0.10223821024808268
7,Pneumonia,0.0,0.0,0.0,49.0,0.032305264963775955
8,Atelectasis,0.2281368821292775,0.1929260450160771,0.2090592334494773,311.0,0.19707911233447536
9,Pneumothorax,0.1568627450980392,0.3027027027027027,0.2066420664206642,185.0,0.1348621859763508
10,Pleural Effusion,0.5020644095788604,0.7552795031055901,0.6031746031746031,805.0,0.5706363873506253
11,Pleural Other,0.0,0.0,0.0,26.0,0.01658153134088621
12,Fracture,0.0555555555555555,0.0641025641025641,0.0595238095238095,78.0,0.051076624926460736
13,micro avg,0.3661683391357772,0.4846841962591488,0.4171721885207652,3689.0,0.3448171524006912
14,macro avg,0.1946678362563046,0.2678085614548842,0.2211938684658772,3689.0,0.19870452323471136
15,weighted avg,0.3737298863773928,0.4846841962591488,0.4175809659593087,3689.0,0.3833487961173794
16,samples avg,0.3450761904761905,0.432175,0.3548777777777778,3689.0,0.5007905693611944
