,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2326869806094182,0.4719101123595505,0.3116883116883117,178.0,0.24178002461754733
1,Enlarged Cardiomediastinum,0.056547619047619,0.1979166666666666,0.0879629629629629,96.0,0.06471891861588702
2,Cardiomegaly,0.2124031007751938,0.5591836734693878,0.3078651685393258,245.0,0.2387272968456834
3,Lung Opacity,0.5626576955424727,0.678498985801217,0.6151724137931035,986.0,0.5705370836976493
4,Lung Lesion,0.0418410041841004,0.1351351351351351,0.0638977635782747,74.0,0.043102886075610546
5,Edema,0.3901895206243032,0.6730769230769231,0.4940014114326041,520.0,0.415208926888773
6,Consolidation,0.0906666666666666,0.25,0.1330724070450097,136.0,0.08957343108246847
7,Pneumonia,0.0421836228287841,0.3469387755102041,0.0752212389380531,49.0,0.0382991007424701
8,Atelectasis,0.1784172661870503,0.3987138263665595,0.246520874751491,311.0,0.18590456545394551
9,Pneumothorax,0.1501210653753026,0.3351351351351351,0.2073578595317725,185.0,0.14082488284512543
10,Pleural Effusion,0.5474525474525475,0.6807453416149069,0.6068660022148394,805.0,0.5926253958837417
11,Pleural Other,0.0,0.0,0.0,26.0,0.016922372465521734
12,Fracture,0.0528846153846153,0.141025641025641,0.0769230769230769,78.0,0.04797242755162821
13,micro avg,0.302121433796635,0.5597722960151803,0.3924363359939186,3689.0,0.2974578245848852
14,macro avg,0.1967732080521595,0.3744830935508713,0.2481961147229865,3689.0,0.20663056252046547
15,weighted avg,0.3800875625560561,0.5597722960151803,0.4442561980420083,3689.0,0.3980912737434386
16,samples avg,0.2930527777777778,0.4926166666666666,0.3414441558441558,3689.0,0.4632965002127502
