,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2077922077922078,0.449438202247191,0.2841918294849023,178.0,0.2150493697149533
1,Enlarged Cardiomediastinum,0.0554323725055432,0.2604166666666667,0.0914076782449725,96.0,0.05746006166176109
2,Cardiomegaly,0.1833161688980432,0.726530612244898,0.2927631578947368,245.0,0.20914096502391627
3,Lung Opacity,0.6035242290748899,0.2778904665314402,0.3805555555555555,986.0,0.5791961947192477
4,Lung Lesion,0.0629370629370629,0.1216216216216216,0.0829493087557603,74.0,0.05428697850280249
5,Edema,0.3381901840490797,0.8480769230769231,0.4835526315789473,520.0,0.4109607902390397
6,Consolidation,0.0954692556634304,0.4338235294117647,0.156498673740053,136.0,0.1000328230123653
7,Pneumonia,0.035,0.1428571428571428,0.0562248995983935,49.0,0.0364661177414283
8,Atelectasis,0.18,0.6077170418006431,0.2777369581190301,311.0,0.18943432907386268
9,Pneumothorax,0.1775700934579439,0.1027027027027027,0.1301369863013698,185.0,0.13540700169745207
10,Pleural Effusion,0.5152733118971061,0.7962732919254658,0.6256710590531966,805.0,0.5812795205706521
11,Pleural Other,0.0769230769230769,0.0384615384615384,0.0512820512820512,26.0,0.03113897190046176
12,Fracture,0.0619469026548672,0.0897435897435897,0.0732984293193717,78.0,0.05442400484369559
13,micro avg,0.2736424216645399,0.5231770127405801,0.3593371811580711,3689.0,0.2807485677380292
14,macro avg,0.1994903742964039,0.3765810253301221,0.2297130168406416,3689.0,0.20417516374627986
15,weighted avg,0.3762451262950576,0.5231770127405801,0.381975560042994,3689.0,0.39473547317645524
16,samples avg,0.262357738095238,0.4587,0.3121599206349206,3689.0,0.4367684698634699
