,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.1883211678832116,0.7247191011235955,0.2989571263035921,178.0,0.3190451984736031
1,Enlarged Cardiomediastinum,0.0577395577395577,0.4895833333333333,0.1032967032967032,96.0,0.06274069970413676
2,Cardiomegaly,0.1979695431472081,0.4775510204081633,0.2799043062200957,245.0,0.19988630044185662
3,Lung Opacity,0.594188376753507,0.6014198782961461,0.5977822580645161,986.0,0.6057305756656328
4,Lung Lesion,0.0633093525179856,0.5945945945945946,0.1144343302990897,74.0,0.07617646902348883
5,Edema,0.4085510688836104,0.6615384615384615,0.5051395007342144,520.0,0.44034445375780934
6,Consolidation,0.0945558739255014,0.4852941176470588,0.158273381294964,136.0,0.11726422735798343
7,Pneumonia,0.0327868852459016,0.6530612244897959,0.0624390243902439,49.0,0.03384884089627949
8,Atelectasis,0.1881720430107527,0.6752411575562701,0.2943237561317449,311.0,0.20397521975262398
9,Pneumothorax,0.1190019193857965,0.6702702702702703,0.2021189894050529,185.0,0.1499049596847137
10,Pleural Effusion,0.5714285714285714,0.6211180124223602,0.5952380952380952,805.0,0.5927516000328074
11,Pleural Other,0.0292553191489361,0.4230769230769231,0.0547263681592039,26.0,0.029243521845872467
12,Fracture,0.0736842105263157,0.358974358974359,0.1222707423580786,78.0,0.06491738962341614
13,micro avg,0.2225416336241078,0.6085660070479805,0.3259054946650214,3689.0,0.2246684606773544
14,macro avg,0.2014587607382197,0.5720340349024101,0.2606849678381226,3689.0,0.22275611202001722
15,weighted avg,0.3936239941161833,0.6085660070479805,0.4434533634288056,3689.0,0.41621468782072024
16,samples avg,0.2203962301587301,0.5430333333333333,0.2955595154845154,3689.0,0.39992628471065966
