,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2276264591439688,0.6573033707865169,0.338150289017341,178.0,0.3201818298921067
1,Enlarged Cardiomediastinum,0.060475161987041,0.5833333333333334,0.1095890410958904,96.0,0.07466420759289626
2,Cardiomegaly,0.2056194125159642,0.6571428571428571,0.3132295719844358,245.0,0.2382301711628911
3,Lung Opacity,0.5937803692905733,0.6196754563894523,0.6064516129032258,986.0,0.6014867251298257
4,Lung Lesion,0.0548302872062663,0.2837837837837837,0.0919037199124726,74.0,0.04855780952617217
5,Edema,0.3785046728971962,0.7788461538461539,0.5094339622641509,520.0,0.41556543005795066
6,Consolidation,0.0973282442748091,0.375,0.1545454545454545,136.0,0.10611801651171457
7,Pneumonia,0.0390015600624025,0.5102040816326531,0.072463768115942,49.0,0.04335824444367262
8,Atelectasis,0.2105263157894736,0.3472668810289389,0.2621359223300971,311.0,0.19486350509229822
9,Pneumothorax,0.1385199240986717,0.3945945945945946,0.2050561797752809,185.0,0.1652147555853542
10,Pleural Effusion,0.580335731414868,0.6012422360248447,0.5906040268456376,805.0,0.6017620968121895
11,Pleural Other,0.0293040293040293,0.3076923076923077,0.0535117056856187,26.0,0.027558445691842404
12,Fracture,0.0548523206751054,0.3333333333333333,0.0942028985507246,78.0,0.056594510102160496
13,micro avg,0.2527381933812271,0.5817294659799404,0.3523809523809524,3689.0,0.2590860278432206
14,macro avg,0.2054388068200284,0.4961091068914438,0.2616367810020209,3689.0,0.22262736520008264
15,weighted avg,0.3961792990029408,0.5817294659799404,0.4460082174313939,3689.0,0.415438600568663
16,samples avg,0.2453363095238095,0.5181166666666668,0.3126039294039294,3689.0,0.42311216975154475
