,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.230174081237911,0.6685393258426966,0.3424460431654676,178.0,0.3233427358196025
1,Enlarged Cardiomediastinum,0.0657142857142857,0.4791666666666667,0.1155778894472361,96.0,0.08604167841912305
2,Cardiomegaly,0.2007978723404255,0.6163265306122448,0.3029087261785356,245.0,0.2420091008817044
3,Lung Opacity,0.5952380952380952,0.7099391480730223,0.6475485661424607,986.0,0.6090348032991835
4,Lung Lesion,0.0735930735930736,0.4594594594594595,0.126865671641791,74.0,0.060887250292099813
5,Edema,0.4017467248908297,0.7076923076923077,0.5125348189415042,520.0,0.4480456747479603
6,Consolidation,0.1066433566433566,0.4485294117647059,0.1723163841807909,136.0,0.09424227631794602
7,Pneumonia,0.0365111561866125,0.3673469387755102,0.066420664206642,49.0,0.042875367335523745
8,Atelectasis,0.196660482374768,0.3408360128617363,0.2494117647058823,311.0,0.20183613080761129
9,Pneumothorax,0.1505546751188589,0.5135135135135135,0.2328431372549019,185.0,0.1919280068504251
10,Pleural Effusion,0.5552178318135765,0.6807453416149069,0.6116071428571429,805.0,0.6358146816877678
11,Pleural Other,0.0165876777251184,0.2692307692307692,0.03125,26.0,0.027919977418016696
12,Fracture,0.064516129032258,0.4615384615384615,0.1132075471698113,78.0,0.06383443466945792
13,micro avg,0.2623495702005731,0.6204933586337761,0.3687771870468825,3689.0,0.28399283144317367
14,macro avg,0.2072273416853208,0.5171433759727693,0.2711491042993975,3689.0,0.2329086245035709
15,weighted avg,0.394539019591674,0.6204933586337761,0.4635325783251056,3689.0,0.4320510560766085
16,samples avg,0.2595666666666666,0.5541083333333333,0.3317234570984571,3689.0,0.44973037302974794
