,Label,precision,recall,f1-score,support,Average Precision
0,No Finding,0.2129277566539923,0.6292134831460674,0.3181818181818182,178.0,0.2917951894416426
1,Enlarged Cardiomediastinum,0.0674157303370786,0.5,0.1188118811881188,96.0,0.07140514574607595
2,Cardiomegaly,0.2002801120448179,0.5836734693877551,0.2982273201251303,245.0,0.22990607709034366
3,Lung Opacity,0.562125748502994,0.7616632860040567,0.6468561584840654,986.0,0.5880848685361889
4,Lung Lesion,0.0535055350553505,0.3918918918918919,0.0941558441558441,74.0,0.051054837025425376
5,Edema,0.3819819819819819,0.8153846153846154,0.5202453987730061,520.0,0.42489713256840084
6,Consolidation,0.0961538461538461,0.3308823529411764,0.1490066225165563,136.0,0.09761781446446167
7,Pneumonia,0.0446601941747572,0.4693877551020408,0.0815602836879432,49.0,0.036062021247444946
8,Atelectasis,0.2059282371294852,0.4244372990353697,0.2773109243697479,311.0,0.19822249860589533
9,Pneumothorax,0.135593220338983,0.518918918918919,0.2150055991041433,185.0,0.15864757201989957
10,Pleural Effusion,0.6028708133971292,0.4695652173913043,0.5279329608938548,805.0,0.5963013492777849
11,Pleural Other,0.0239361702127659,0.3461538461538461,0.044776119402985,26.0,0.024465687815762537
12,Fracture,0.0534188034188034,0.3205128205128205,0.0915750915750915,78.0,0.05513515510417861
13,micro avg,0.2533455335697129,0.6004337218758471,0.3563384813384813,3689.0,0.2555520898791838
14,macro avg,0.2031383191847681,0.5047449966053741,0.2602804632660235,3689.0,0.2171996422264235
15,weighted avg,0.3916458168812103,0.6004337218758471,0.4445588146920496,3689.0,0.4095139522092332
16,samples avg,0.2533376984126984,0.5360999999999999,0.3239229409479409,3689.0,0.4340168157074407
